team,win_perc,field_goals,field_goal_attemps,field_goal_perc,three_pointers,three_point_attempts,three_point_perc,free_throw_perc,two_pointers,two_point_attempts,two_point_perc,wins,losses,free_throws,free_throw_attemps,offensive_rebounds,defensive_rebounds,total_rebounds,assists,turnovers,steals,blocks,blocks_against,personal_fouls,total_points,score_differential,season
Atlanta Hawks,0.293,3130,7015,0.446,917,2544,0.3604559748427673,0.785,2213,4471,0.49496756877656006,24,58,1298,1654,743,2693,3436,1946,1274,638,348,453,1606,8475,-447,2017-18
Boston Celtics,0.671,3141,6975,0.45,939,2492,0.37680577849117175,0.771,2202,4483,0.4911889359803703,55,27,1308,1697,767,2878,3645,1842,1148,604,373,364,1618,8529,294,2017-18
Brooklyn Nets,0.341,3136,7114,0.441,1041,2924,0.35601915184678523,0.772,2095,4190,0.5,28,54,1428,1850,792,2852,3644,1941,1245,512,390,450,1688,8741,-307,2017-18
Charlotte Hornets,0.439,3197,7106,0.45,824,2233,0.3690103000447828,0.747,2373,4873,0.48696901292838085,36,46,1656,2216,827,2901,3728,1770,1041,559,373,404,1409,8874,21,2017-18
Chicago Bulls,0.329,3170,7285,0.435,906,2549,0.355433503334641,0.759,2264,4736,0.4780405405405405,27,55,1194,1574,790,2872,3662,1923,1147,626,289,423,1571,8440,-577,2017-18
Cleveland Cavaliers,0.61,3311,6950,0.476,981,2636,0.37215477996965096,0.779,2330,4314,0.5401019935095039,50,32,1488,1909,694,2761,3455,1916,1126,582,312,340,1524,9091,77,2017-18
Dallas Mavericks,0.293,3128,7042,0.444,967,2688,0.35974702380952384,0.763,2161,4354,0.49632521819016995,24,58,1167,1530,666,2717,3383,1858,1007,578,310,369,1578,8390,-249,2017-18
Denver Nuggets,0.561,3338,7102,0.47,940,2536,0.37066246056782337,0.767,2398,4566,0.5251861585632939,46,36,1404,1830,902,2748,3650,2059,1226,627,404,391,1533,9020,121,2017-18
Detroit Pistons,0.476,3208,7129,0.45,886,2373,0.37336704593341763,0.745,2322,4756,0.48822539949537425,39,43,1207,1621,830,2756,3586,1868,1102,628,317,398,1508,8509,-12,2017-18
Golden State Warriors,0.707,3509,6979,0.503,926,2369,0.39088222878851836,0.815,2583,4610,0.5603036876355748,58,24,1360,1668,691,2877,3568,2402,1265,656,612,300,1607,9304,490,2017-18
