team,win_perc,field_goals,field_goal_attemps,field_goal_perc,three_pointers,three_point_attempts,three_point_perc,free_throw_perc,two_pointers,two_point_attempts,two_point_perc,wins,losses,free_throws,free_throw_attemps,offensive_rebounds,defensive_rebounds,total_rebounds,assists,turnovers,steals,blocks,blocks_against,personal_fouls,total_points,score_differential,season
Sacramento Kings,0.329,3179,7063,0.45,738,1967,0.3751906456532791,0.735,2441,5096,0.4790031397174254,27,55,1008,1371,776,2578,3354,1768,1125,643,340,389,1639,8104,-573,2017-18
San Antonio Spurs,0.573,3202,6999,0.457,696,1977,0.3520485584218513,0.772,2506,5022,0.49900438072481085,47,35,1324,1715,849,2777,3626,1868,1078,628,460,318,1408,8424,237,2017-18
Toronto Raptors,0.72,3383,7169,0.472,968,2705,0.3578558225508318,0.794,2415,4464,0.540994623655914,59,23,1422,1790,800,2807,3607,1995,1095,626,500,401,1783,9156,638,2017-18
Utah Jazz,0.585,3139,6797,0.462,887,2425,0.36577319587628865,0.779,2252,4372,0.515096065873742,48,34,1375,1766,740,2807,3547,1839,1205,708,420,380,1608,8540,353,2017-18
Washington Wizards,0.524,3275,7018,0.467,814,2173,0.3745973308789692,0.772,2461,4845,0.5079463364293085,43,39,1378,1786,823,2713,3536,2065,1196,645,353,383,1746,8742,48,2017-18
Atlanta Hawks,0.354,3392,7524,0.451,1067,3034,0.35168094924192483,0.752,2325,4490,0.5178173719376392,29,53,1443,1918,955,2825,3780,2118,1397,675,419,448,1932,9294,-494,2018-19
Boston Celtics,0.598,3451,7423,0.465,1032,2829,0.3647932131495228,0.802,2419,4594,0.5265563778841967,49,33,1282,1598,804,2849,3653,2155,1052,706,435,317,1669,9216,364,2018-19
Brooklyn Nets,0.512,3301,7358,0.449,1047,2965,0.35311973018549747,0.745,2254,4393,0.5130890052356021,42,40,1555,2088,900,2919,3819,1954,1236,539,339,432,1763,9204,-6,2018-19
Charlotte Hornets,0.476,3297,7362,0.448,977,2783,0.3510600071864894,0.797,2320,4579,0.5066608429788163,39,43,1510,1895,814,2778,3592,1905,1001,591,405,492,1550,9081,-90,2018-19
Chicago Bulls,0.268,3266,7205,0.453,745,2123,0.3509185115402732,0.783,2521,5082,0.49606454151908697,22,60,1328,1695,718,2799,3517,1796,1159,603,351,473,1663,8605,-690,2018-19
Cleveland Cavaliers,0.232,3189,7184,0.444,847,2388,0.3546901172529313,0.792,2342,4796,0.4883236030025021,19,63,1342,1694,879,2619,3498,1698,1106,534,195,459,1642,8567,-788,2018-19
Dallas Mavericks,0.402,3182,7122,0.447,1022,3002,0.34043970686209196,0.742,2160,4120,0.5242718446601942,33,49,1541,2076,832,2884,3716,1918,1167,533,351,368,1650,8927,-105,2018-19
Denver Nuggets,0.659,3439,7384,0.466,903,2571,0.35122520420070014,0.755,2536,4813,0.5269062954498234,54,28,1294,1714,972,2832,3804,2245,1102,634,363,407,1644,9075,324,2018-19
Detroit Pistons,0.5,3185,7238,0.44,993,2854,0.3479327259985985,0.747,2192,4384,0.5,41,41,1415,1893,936,2752,3688,1845,1135,569,331,419,1811,8778,-20,2018-19
Golden State Warriors,0.695,3612,7361,0.491,1087,2824,0.38491501416430596,0.801,2525,4537,0.5565351553890235,57,25,1339,1672,797,2990,3787,2413,1169,625,525,295,1757,9650,530,2018-19
Houston Rockets,0.646,3218,7163,0.449,1323,3721,0.3555495834453104,0.791,1895,3442,0.5505520046484602,53,29,1582,2001,836,2613,3449,1741,1094,700,405,369,1803,9341,391,2018-19
Indiana Pacers,0.585,3390,7135,0.475,779,2081,0.3743392599711677,0.752,2611,5054,0.5166204986149584,48,34,1298,1727,762,2766,3528,2128,1122,713,404,425,1594,8857,273,2018-19
LA Clippers,0.585,3384,7178,0.471,821,2118,0.3876298394711992,0.792,2563,5060,0.5065217391304347,48,34,1853,2340,796,2936,3732,1970,1193,561,385,498,1913,9442,70,2018-19
Los Angeles Lakers,0.451,3491,7425,0.47,847,2541,0.3333333333333333,0.699,2644,4884,0.5413595413595413,37,45,1336,1910,835,2985,3820,2096,1284,618,440,421,1701,9165,-141,2018-19
Memphis Grizzlies,0.402,3113,6924,0.45,811,2368,0.3424831081081081,0.772,2302,4556,0.5052677787532923,33,49,1453,1882,723,2703,3426,1963,1147,684,448,402,1801,8490,-213,2018-19
Miami Heat,0.476,3251,7218,0.45,928,2658,0.3491346877351392,0.695,2323,4560,0.5094298245614035,39,43,1238,1782,921,2879,3800,1991,1208,627,448,389,1712,8668,-19,2018-19
Milwaukee Bucks,0.732,3555,7471,0.476,1105,3134,0.35258455647734527,0.773,2450,4337,0.564906617477519,60,22,1471,1904,762,3316,4078,2136,1137,615,486,395,1608,9686,727,2018-19
Minnesota Timberwolves,0.439,3413,7483,0.456,827,2357,0.3508697496817989,0.787,2586,5126,0.5044869293796332,36,46,1570,1995,923,2750,3673,2018,1074,683,411,455,1664,9223,-123,2018-19
New Orleans Pelicans,0.402,3581,7563,0.473,842,2449,0.34381380155165375,0.761,2739,5114,0.53558858036761825,33,49,1462,1921,909,2969,3878,2216,1215,610,441,445,1732,9466,-109,2018-19
New York Knicks,0.207,3134,7241,0.433,823,2421,0.3399421726559273,0.759,2311,4820,0.4794605809128631,17,65,1484,1956,857,2811,3668,1646,1151,557,422,458,1713,8575,-755,2018-19
Oklahoma City Thunder,0.598,3497,7706,0.454,932,2677,0.3481509152035861,0.713,2565,5029,0.5100417578047326,49,33,1461,2049,1031,2911,3942,1917,1145,766,425,415,1839,9387,279,2018-19
Orlando Magic,0.512,3316,7307,0.454,937,2633,0.35586783137105965,0.782,2379,4674,0.5089858793324775,42,40,1231,1575,822,2902,3724,2095,1082,543,445,362,1526,8800,58,2018-19
Philadelphia 76ers,0.622,3407,7233,0.471,889,2474,0.3593371059013743,0.771,2518,4759,0.5291027526791343,51,31,1742,2258,892,3025,3917,2207,1223,606,432,336,1745,9445,221,2018-19
Phoenix Suns,0.232,3289,7164,0.459,790,2400,0.32916666666666666,0.779,2499,4764,0.52455919395466,19,63,1447,1858,748,2563,3311,1957,1279,735,418,411,1932,8815,-766,2018-19
Portland Trail Blazers,0.646,3470,7427,0.467,904,2520,0.35873015873015873,0.814,2566,4907,0.5229264316282861,53,29,1558,1914,967,2968,3935,1887,1135,546,413,420,1669,9402,344,2018-19
Sacramento Kings,0.476,3541,7637,0.464,927,2455,0.3775967413441955,0.726,2614,5182,0.5044384407564647,39,43,1354,1865,906,2819,3725,2083,1095,679,363,420,1751,9363,-92,2018-19
San Antonio Spurs,0.585,3468,7248,0.478,812,2071,0.3920811202317721,0.819,2656,5177,0.5130384392505312,48,34,1408,1720,757,2910,3667,2013,992,501,386,332,1487,9156,138,2018-19
Toronto Raptors,0.707,3460,7305,0.474,1015,2771,0.36629375676651027,0.804,2445,4534,0.539258932509925,58,24,1449,1803,786,2920,3706,2085,1150,680,437,368,1724,9384,499,2018-19
Utah Jazz,0.61,3314,7082,0.468,993,2789,0.3560415919684475,0.736,2321,4293,0.5406475658047986,50,32,1540,2092,820,2981,3801,2133,1240,663,483,376,1728,9161,431,2018-19
Washington Wizards,0.39,3456,7387,0.468,930,2731,0.34053460270963015,0.768,2526,4656,0.5425257731958762,32,50,1508,1963,794,2679,3473,2154,1154,683,379,378,1701,9350,-238,2018-19
