period,clock,las_score,con_score,description,team,event,x_loc,y_loc,field_goal_type,shot_made,assisted,shooting_foul,distance_from_hoop
1,01:11,11,21,[CON 21-11] Williams Driving Layup Shot: Made (6 PTS) Assist: Clarendon (2 AST),con,field_goal_attempt,2,50,two_pointer,0,1,0,5.0039984012787215
1,00:52.4,11,21,[LAS] Brown Driving Floating Jump Shot: Missed,las,field_goal_attempt,-113,4,two_pointer,1,0,0,11.307077429645558
1,00:39.6,11,23,[CON 23-11] Williams Driving Floating Jump Shot: Made (8 PTS) Assist: Thomas (3 AST),con,field_goal_attempt,-79,4,two_pointer,0,1,0,7.910120100226039
1,00:15.6,11,23,[LAS] Mabrey 3pt Shot: Missed,las,field_goal_attempt,-153,188,three_pointer,1,0,0,24.239018131929356
1,00:15.6,11,23,[LAS] Team Turnover : Shot Clock Turnover,las,turnover,-121,220,NA,0,0,0,25.10796686312932
1,00:01.0,11,23,[CON] Clarendon Layup Shot: Missed,con,field_goal_attempt,67,29,two_pointer,1,0,0,7.3006848993775915
2,09:47,11,23,[CON] Jones Turnover : Bad Pass (1 TO) Steal:Mabrey (1 ST),con,turnover,44,104,NA,0,0,0,11.292475370794484
2,09:37,11,23,[LAS] Walker 3pt Shot: Missed,las,field_goal_attempt,-115,237,three_pointer,1,0,0,26.34274093559742
2,09:18,11,23,[CON] Williams Pullup Jump shot: Missed,con,field_goal_attempt,-20,147,two_pointer,1,0,0,14.835430563350696
2,09:12,11,23,[LAS] Walker Driving Layup Shot: Missed Block: Tuck (1 BLK),las,field_goal_attempt,56,4,two_pointer,1,0,0,5.61426753904728
2,09:10,13,23,[LAS 13-23] Walker Putback Layup Shot: Made (2 PTS),las,field_goal_attempt,0,-5,two_pointer,0,1,0,0.5
2,08:51,13,25,[CON 25-13] Williams Driving Layup Shot: Made (10 PTS),con,field_goal_attempt,28,10,two_pointer,0,1,0,2.973213749463701
2,08:34,15,25,[LAS 15-25] Wiese Driving Layup Shot: Made (4 PTS) Assist: Walker (1 AST),las,field_goal_attempt,34,16,two_pointer,0,1,0,3.757658845611187
2,08:20,15,25,[CON] Tuck 3pt Shot: Missed,con,field_goal_attempt,-145,216,three_pointer,1,0,0,26.015572259706303
2,08:12,15,25,[LAS] Mabrey 3pt Shot: Missed,las,field_goal_attempt,-131,215,three_pointer,1,0,0,25.176576415390556
2,08:04,15,25,[LAS] Brown Turnover : Lost Ball (1 TO) Steal:Jones (1 ST),las,turnover,-37,234,NA,0,0,0,23.69071548096427
2,07:46,15,25,[CON] Jones Jump Shot: Missed,con,field_goal_attempt,10,195,two_pointer,1,0,0,19.525624189766635
2,07:38,15,25,[LAS] Brown Turnover : Out of Bounds Lost Ball Turnover (2 TO),las,turnover,-58,36,NA,0,0,0,6.826419266350405
2,07:26,15,25,[LAS] Jones Foul: Personal (1 PF),las,foul,-63,80,NA,0,0,0,10.182828683622247
2,07:17,15,27,[CON 27-15] Tuck Driving Layup Shot: Made (2 PTS) Assist: Williams (1 AST),con,field_goal_attempt,39,37,two_pointer,0,1,0,5.375872022286245
2,07:07,15,27,[CON] Thomas Foul: Shooting (1 PF) (2 FTA),con,foul,-30,43,NA,0,0,1,5.243090691567332
2,06:52,17,27,[CON] Jones Driving Layup Shot: Missed Block: Mabrey (1 BLK),con,field_goal_attempt,-53,16,two_pointer,1,0,0,5.5362442142665635
2,06:45,17,27,[CON] Tuck Jump Shot: Missed,con,field_goal_attempt,-45,162,two_pointer,1,0,0,16.813387523042465
2,06:41,17,27,[LAS] Mabrey Foul: Shooting (1 PF) (2 FTA),las,foul,-12,49,NA,0,0,1,5.044799302251776
2,06:30,17,29,[CON] Tuck Foul: Defense 3 Second (1 PF) (1 FTA),con,foul,0,-80,NA,0,0,0,8
