"","match_id.x","tournament","year","winner_name","loser_name","winner_rank","loser_rank","winner_age","winner_ioc","Retirement","w_pointswon","w_gameswon","w_setswon","l_pointswon","l_gameswon","l_setswon","round","a1","a2","match_id.y","player1","player2","Tour","slam","week","w_ave_serve_speed","l_ave_serve_speed","w_n_aces","l_n_aces","w_n_winners","l_n_winners","w_n_netpt_w","l_n_netpt_w","w_n_netpt","l_n_netpt","w_n_bp_w","l_n_bp_w","w_n_bp","l_n_bp","w_n_ue","l_n_ue","w_n_sv_w","l_n_sv_w","w_n_sv","l_n_sv"
"1","2013-520:1","French Open",2013,"Novak Djokovic","David Goffin",1,58,26.0150581793,"SRB",FALSE,114,20,3,99,15,0,"R128","David Goffin","Novak Djokovic","2013-frenchopen-1101","Novak Djokovic","David Goffin","atp","frenchopen","Week 1",107.524752475248,100.375,5,7,26,32,10,10,14,14,3,1,11,2,31,38,73,71,101,112
"2","2013-520:100","French Open",2013,"Mikhail Youzhny","Janko Tipsarevic",31,12,30.9212867899,"RUS",FALSE,96,18,3,77,11,0,"R32","Janko Tipsarevic","Mikhail Youzhny","2013-frenchopen-1304","Mikhail Youzhny","Janko Tipsarevic","atp","frenchopen","Week 1",93.7176470588235,89.9772727272727,3,5,42,22,12,12,18,18,4,0,8,3,29,22,61,53,85,88
"3","2013-520:101","French Open",2013,"Rafael Nadal","Fabio Fognini",4,29,26.9815195072,"ESP",FALSE,122,19,3,111,14,0,"R32","Fabio Fognini","Rafael Nadal","2013-frenchopen-1305","Rafael Nadal","Fabio Fognini","atp","frenchopen","Week 1",101.105769230769,98.6046511627907,5,3,24,47,12,12,15,15,5,3,18,11,40,59,66,73,104,129
"4","2013-520:102","French Open",2013,"Kei Nishikori","Benoit Paire",15,26,23.40862423,"JPN",FALSE,137,24,3,119,15,1,"R32","Benoit Paire","Kei Nishikori","2013-frenchopen-1306","Benoit Paire","Kei Nishikori","atp","frenchopen","Week 1",90.563025210084,91.5182481751825,1,6,27,36,7,7,16,16,8,4,19,9,34,64,76,76,119,137
"5","2013-520:104","French Open",2013,"Richard Gasquet","Nikolay Davydenko",9,48,26.9404517454,"FRA",FALSE,101,18,3,83,11,0,"R32","Nikolay Davydenko","Richard Gasquet","2013-frenchopen-1308","Nikolay Davydenko","Richard Gasquet","atp","frenchopen","Week 1",100.057471264368,99.4742268041237,5,3,27,36,9,9,11,11,5,2,10,3,18,38,59,55,87,97
"6","2013-520:105","French Open",2013,"Tommy Robredo","Gael Monfils",34,81,31.0718685832,"ESP",FALSE,170,27,3,154,23,2,"R32","Gael Monfils","Tommy Robredo","2013-frenchopen-1309","Gael Monfils","Tommy Robredo","atp","frenchopen","Week 1",97.9620253164557,99.2951807228916,4,2,50,61,26,26,33,33,6,4,17,12,52,68,104,100,158,166
"7","2013-520:107","French Open",2013,"Kevin Anderson","Milos Raonic",25,16,27.0253251198,"RSA",FALSE,126,20,3,102,14,0,"R32","Kevin Anderson","Milos Raonic","2013-frenchopen-1311","Milos Raonic","Kevin Anderson","atp","frenchopen","Week 1",91.2474226804124,103.488549618321,8,16,31,50,13,13,25,25,3,1,12,4,15,38,73,78,97,131
"8","2013-520:108","French Open",2013,"David Ferrer","Feliciano Lopez",5,43,31.151266256,"ESP",FALSE,111,19,3,80,10,0,"R32","David Ferrer","Feliciano Lopez","2013-frenchopen-1312","Feliciano Lopez","David Ferrer","atp","frenchopen","Week 1",97.6666666666667,103.048076923077,1,5,35,21,15,15,22,22,7,3,19,5,30,41,58,51,87,104
"9","2013-520:110","French Open",2013,"Viktor Troicki","Marin Cilic",57,11,27.2908966461,"SRB",FALSE,128,20,3,115,15,0,"R32","Marin Cilic","Viktor Troicki","2013-frenchopen-1314","Viktor Troicki","Marin Cilic","atp","frenchopen","Week 1",0,0,7,6,32,34,11,11,17,17,4,2,10,9,36,56,81,70,126,117
"10","2013-520:111","French Open",2013,"Gilles Simon","Sam Querrey",18,20,28.4134154689,"FRA",FALSE,133,23,3,134,23,2,"R32","Gilles Simon","Sam Querrey","2013-frenchopen-1315","Gilles Simon","Sam Querrey","atp","frenchopen","Week 1",91.2262773722628,95.1692307692308,3,9,36,61,6,6,15,15,6,7,10,14,29,50,84,81,137,130
"11","2013-520:112","French Open",2013,"Roger Federer","Julien Benneteau",3,32,31.8001368925,"SUI",FALSE,98,19,3,64,12,0,"R32","Julien Benneteau","Roger Federer","2013-frenchopen-1316","Julien Benneteau","Roger Federer","atp","frenchopen","Week 1",107.240506329114,97.1566265060241,7,2,38,15,6,6,12,12,4,1,4,3,21,31,64,49,79,83
"12","2013-520:113","French Open",2013,"Novak Djokovic","Philipp Kohlschreiber",1,19,26.0150581793,"SRB",FALSE,134,22,3,123,17,1,"R16","Novak Djokovic","Philipp Kohlschreiber","2013-frenchopen-1401","Novak Djokovic","Philipp Kohlschreiber","atp","frenchopen","Week 2",101.716312056738,102.853448275862,2,4,38,48,10,10,24,24,4,2,8,13,42,48,94,76,141,116
"13","2013-520:114","French Open",2013,"Tommy Haas","Mikhail Youzhny",14,31,35.1485284052,"GER",FALSE,82,18,3,54,5,0,"R16","Mikhail Youzhny","Tommy Haas","2013-frenchopen-1402","Tommy Haas","Mikhail Youzhny","atp","frenchopen","Week 2",92.5857142857143,90.448275862069,2,0,24,15,7,7,10,10,8,2,13,6,20,31,43,22,70,58
"14","2013-520:115","French Open",2013,"Rafael Nadal","Kei Nishikori",4,15,26.9815195072,"ESP",FALSE,91,18,3,65,8,0,"R16","Kei Nishikori","Rafael Nadal","2013-frenchopen-1403","Rafael Nadal","Kei Nishikori","atp","frenchopen","Week 2",100.935897435897,96,1,0,20,14,5,5,6,6,5,0,8,4,25,39,55,42,78,78
"15","2013-520:117","French Open",2013,"Tommy Robredo","Nicolas Almagro",34,13,31.0718685832,"ESP",FALSE,169,27,3,165,25,2,"R16","Nicolas Almagro","Tommy Robredo","2013-frenchopen-1405","Tommy Robredo","Nicolas Almagro","atp","frenchopen","Week 2",98.4491017964072,103.934131736527,8,7,42,69,21,21,25,25,7,6,20,13,39,67,104,102,167,167
"16","2013-520:118","French Open",2013,"David Ferrer","Kevin Anderson",5,25,31.151266256,"ESP",FALSE,97,18,3,60,5,0,"R16","David Ferrer","Kevin Anderson","2013-frenchopen-1406","Kevin Anderson","David Ferrer","atp","frenchopen","Week 2",97.9295774647887,109.151162790698,1,5,28,25,6,6,10,10,6,0,17,2,11,41,52,41,71,86
"17","2013-520:12","French Open",2013,"John Isner","Carlos Berlocq",21,71,28.0848733744,"USA",FALSE,97,18,3,83,11,0,"R128","Carlos Berlocq","John Isner","2013-frenchopen-1112","Carlos Berlocq","John Isner","atp","frenchopen","Week 1",112.921348314607,93.9230769230769,14,3,52,27,7,7,13,13,4,1,9,5,29,11,61,55,89,91
"18","2013-520:120","French Open",2013,"Roger Federer","Gilles Simon",3,18,31.8001368925,"SUI",FALSE,147,24,3,131,18,2,"R16","Gilles Simon","Roger Federer","2013-frenchopen-1408","Gilles Simon","Roger Federer","atp","frenchopen","Week 2",102.410256410256,98.8571428571429,9,5,60,32,13,13,19,19,6,3,14,6,56,47,79,93,117,161
"19","2013-520:123","French Open",2013,"David Ferrer","Tommy Robredo",5,34,31.151266256,"ESP",FALSE,84,18,3,46,4,0,"QF","David Ferrer","Tommy Robredo","2013-frenchopen-1503","Tommy Robredo","David Ferrer","atp","frenchopen","Week 2",94.0161290322581,96.9852941176471,1,2,26,9,4,4,6,6,7,0,12,1,18,28,47,31,62,68
"20","2013-520:125","French Open",2013,"Rafael Nadal","Novak Djokovic",4,1,26.9815195072,"ESP",FALSE,177,30,3,158,25,2,"SF","Novak Djokovic","Rafael Nadal","2013-frenchopen-1601","Novak Djokovic","Rafael Nadal","atp","frenchopen","Week 2",97.45,102.931428571429,6,5,61,54,24,24,38,38,8,5,16,9,44,75,108,106,160,175
"21","2013-520:127","French Open",2013,"Rafael Nadal","David Ferrer",4,5,26.9815195072,"ESP",FALSE,100,18,3,72,8,0,"F","David Ferrer","Rafael Nadal","2013-frenchopen-1701","Rafael Nadal","David Ferrer","atp","frenchopen","Week 2",100.011494252874,97.8705882352941,5,1,35,22,12,12,16,16,8,3,16,12,25,35,54,39,87,85
"22","2013-520:15","French Open",2013,"Fernando Verdasco","Marc Gicquel",53,126,29.53045859,"ESP",FALSE,89,18,3,58,6,0,"R128","Fernando Verdasco","Marc Gicquel","2013-frenchopen-1115","Fernando Verdasco","Marc Gicquel","atp","frenchopen","Week 1",93.1428571428571,95.5714285714286,4,1,25,11,7,7,9,9,7,1,13,3,22,25,48,36,70,77
"23","2013-520:16","French Open",2013,"Janko Tipsarevic","Nicolas Mahut",12,173,28.9281314168,"SRB",FALSE,98,19,3,75,9,0,"R128","Janko Tipsarevic","Nicolas Mahut","2013-frenchopen-1116","Nicolas Mahut","Janko Tipsarevic","atp","frenchopen","Week 1",87.1294117647059,99.7721518987342,8,6,29,26,11,11,26,26,5,1,8,6,15,35,57,45,85,79
"24","2013-520:17","French Open",2013,"Rafael Nadal","Daniel Brands",4,59,26.9815195072,"ESP",FALSE,140,23,3,115,19,1,"R128","Daniel Brands","Rafael Nadal","2013-frenchopen-1117","Rafael Nadal","Daniel Brands","atp","frenchopen","Week 1",99.4955752212389,106.140845070423,2,10,40,51,14,14,16,16,3,1,8,4,26,53,86,88,113,142
"25","2013-520:21","French Open",2013,"Benoit Paire","Marcos Baghdatis",26,39,24.052019165,"FRA",FALSE,149,22,3,144,20,1,"R128","Benoit Paire","Marcos Baghdatis","2013-frenchopen-1121","Benoit Paire","Marcos Baghdatis","atp","frenchopen","Week 1",98.3481012658228,96.8888888888889,8,2,68,25,25,25,35,35,3,2,7,16,62,33,100,86,158,135
"26","2013-520:22","French Open",2013,"Lukasz Kubot","Maxime Teixeira",107,284,31.0308008214,"POL",FALSE,154,24,3,143,19,1,"R128","Lukasz Kubot","Maxime Teixeira","2013-frenchopen-1122","Lukasz Kubot","Maxime Teixeira","atp","frenchopen","Week 1",94.2253521126761,94.2838709677419,4,6,48,44,28,28,55,55,8,6,21,11,58,57,82,83,142,155
"27","2013-520:24","French Open",2013,"Kei Nishikori","Jesse Levine",15,90,23.40862423,"JPN",FALSE,86,18,3,49,5,0,"R128","Jesse Levine","Kei Nishikori","2013-frenchopen-1124","Jesse Levine","Kei Nishikori","atp","frenchopen","Week 1",73.9714285714286,77.1230769230769,2,1,26,9,4,4,6,6,8,1,11,3,25,33,46,25,70,65
"28","2013-520:28","French Open",2013,"Jerzy Janowicz","Albert Ramos",23,64,22.5352498289,"POL",FALSE,113,20,3,94,14,0,"R128","Albert Ramos","Jerzy Janowicz","2013-frenchopen-1128","Albert Ramos","Jerzy Janowicz","atp","frenchopen","Week 1",109.844660194175,90.7596153846154,17,5,65,22,10,10,15,15,3,1,7,6,46,17,75,66,103,104
"29","2013-520:29","French Open",2013,"Denis Istomin","Florian Mayer",42,30,26.7186858316,"UZB",TRUE,101,17,2,87,14,1,"R128","Denis Istomin","Florian Mayer","2013-frenchopen-1129","Florian Mayer","Denis Istomin","atp","frenchopen","Week 1",102.14606741573,85.5959595959596,7,6,53,22,10,10,14,14,5,4,11,7,31,24,57,55,89,99
"30","2013-520:3","French Open",2013,"Lucas Pouille","Alex Kuznetsov",324,171,19.2553045859,"FRA",FALSE,109,19,3,84,9,0,"R128","Alex Kuznetsov","Lucas Pouille","2013-frenchopen-1103","Alex Kuznetsov","Lucas Pouille","atp","frenchopen","Week 1",94.7757009345794,96.5697674418605,8,5,38,34,16,16,21,21,5,1,11,6,37,49,69,46,107,86
"31","2013-520:30","French Open",2013,"Nikolay Davydenko","Florent Serra",48,131,31.9835728953,"RUS",FALSE,96,19,3,75,12,0,"R128","Florent Serra","Nikolay Davydenko","2013-frenchopen-1130","Florent Serra","Nikolay Davydenko","atp","frenchopen","Week 1",99.7311827956989,100.448717948718,3,1,28,17,2,2,3,3,5,2,7,3,27,25,66,48,93,78
"32","2013-520:32","French Open",2013,"Richard Gasquet","Sergiy Stakhovsky",9,101,26.9404517454,"FRA",FALSE,88,18,3,57,8,0,"R128","Richard Gasquet","Sergiy Stakhovsky","2013-frenchopen-1132","Sergiy Stakhovsky","Richard Gasquet","atp","frenchopen","Week 1",102.728571428571,100.933333333333,3,1,26,16,10,10,23,23,6,1,10,4,13,30,52,39,70,75
"33","2013-520:33","French Open",2013,"Gael Monfils","Tomas Berdych",81,6,26.7351129363,"FRA",FALSE,189,32,3,174,29,2,"R128","Gael Monfils","Tomas Berdych","2013-frenchopen-1133","Tomas Berdych","Gael Monfils","atp","frenchopen","Week 1",100.127071823204,106.005494505495,26,11,66,72,34,34,46,46,3,1,8,5,44,57,131,124,181,182
"34","2013-520:34","French Open",2013,"Ernests Gulbis","Rogerio Dutra Silva",40,94,24.7392197125,"LAT",FALSE,97,19,3,74,10,0,"R128","Ernests Gulbis","Rogerio Dutra Silva","2013-frenchopen-1134","Ernests Gulbis","Rogerio Dutra Silva","atp","frenchopen","Week 1",99.8089887640449,93.6707317073171,7,1,40,17,12,12,16,16,6,3,9,6,26,32,59,44,89,82
"35","2013-520:37","French Open",2013,"Andreas Seppi","Leonardo Mayer",22,73,29.2621492129,"ITA",FALSE,171,30,3,154,25,2,"R128","Andreas Seppi","Leonardo Mayer","2013-frenchopen-1137","Andreas Seppi","Leonardo Mayer","atp","frenchopen","Week 1",0,0,8,11,50,48,13,13,18,18,9,6,14,10,69,69,105,96,163,162
"36","2013-520:38","French Open",2013,"Blaz Kavcic","James Duckworth",104,185,26.2286105407,"SLO",FALSE,89,18,3,50,6,0,"R128","Blaz Kavcic","James Duckworth","2013-frenchopen-1138","Blaz Kavcic","James Duckworth","atp","frenchopen","Week 1",0,0,1,3,25,13,7,7,16,16,7,1,12,5,8,27,50,30,70,69
"37","2013-520:41","French Open",2013,"Milos Raonic","Xavier Malisse",16,56,22.4147843943,"CAN",FALSE,116,22,3,87,13,1,"R128","Milos Raonic","Xavier Malisse","2013-frenchopen-1141","Milos Raonic","Xavier Malisse","atp","frenchopen","Week 1",106.6875,95.1028037383178,16,8,61,26,31,31,40,40,6,2,9,5,36,18,69,60,96,107
"38","2013-520:42","French Open",2013,"Michael Llodra","Steve Darcis",55,112,33.0239561944,"FRA",FALSE,131,22,3,112,15,1,"R128","Michael Llodra","Steve Darcis","2013-frenchopen-1142","Steve Darcis","Michael Llodra","atp","frenchopen","Week 1",99.0892857142857,103.36641221374,17,3,59,35,17,17,33,33,7,4,18,6,46,18,72,72,112,131
"39","2013-520:44","French Open",2013,"Kevin Anderson","Illya Marchenko",25,120,27.0253251198,"RSA",FALSE,115,19,3,89,12,0,"R128","Illya Marchenko","Kevin Anderson","2013-frenchopen-1144","Illya Marchenko","Kevin Anderson","atp","frenchopen","Week 1",0,0,13,0,38,21,8,8,16,16,4,1,12,2,33,35,65,64,90,114
"40","2013-520:45","French Open",2013,"Feliciano Lopez","Marcel Granollers",43,33,31.6824093087,"ESP",FALSE,154,25,3,155,25,2,"R128","Feliciano Lopez","Marcel Granollers","2013-frenchopen-1145","Marcel Granollers","Feliciano Lopez","atp","frenchopen","Week 1",97.4277108433735,96.6223776223776,12,7,60,33,22,22,39,39,6,6,9,15,74,48,102,91,166,143
"41","2013-520:46","French Open",2013,"Joao Sousa","Go Soeda",119,124,24.1587953457,"POR",FALSE,87,18,3,57,6,0,"R128","Go Soeda","Joao Sousa","2013-frenchopen-1146","Joao Sousa","Go Soeda","atp","frenchopen","Week 1",0,0,7,3,29,19,5,5,7,7,7,1,10,4,21,41,54,34,77,67
"42","2013-520:48","French Open",2013,"David Ferrer","Marinko Matosevic",5,63,31.151266256,"ESP",FALSE,98,18,3,76,11,0,"R128","David Ferrer","Marinko Matosevic","2013-frenchopen-1148","Marinko Matosevic","David Ferrer","atp","frenchopen","Week 1",98.1590909090909,97.046511627907,3,1,22,20,10,10,19,19,8,5,11,8,22,42,51,39,88,86
"43","2013-520:52","French Open",2013,"Jeremy Chardy","Benjamin Becker",27,97,26.2861054073,"FRA",FALSE,108,19,3,85,11,0,"R128","Benjamin Becker","Jeremy Chardy","2013-frenchopen-1152","Benjamin Becker","Jeremy Chardy","atp","frenchopen","Week 1",95.5647058823529,86.8796296296296,10,7,46,24,11,11,14,14,5,1,11,5,33,24,61,61,85,108
"44","2013-520:54","French Open",2013,"Viktor Troicki","James Blake",57,96,27.2908966461,"SRB",FALSE,91,18,3,59,8,0,"R128","James Blake","Viktor Troicki","2013-frenchopen-1154","Viktor Troicki","James Blake","atp","frenchopen","Week 1",85.830985915493,86.8481012658228,12,3,33,23,10,10,16,16,7,2,11,2,12,31,49,37,71,79
"45","2013-520:56","French Open",2013,"Marin Cilic","Philipp Petzschner",11,102,24.6598220397,"CRO",FALSE,92,18,3,54,6,0,"R128","Marin Cilic","Philipp Petzschner","2013-frenchopen-1156","Philipp Petzschner","Marin Cilic","atp","frenchopen","Week 1",93.4333333333333,78.953488372093,5,0,35,12,9,9,14,14,7,1,12,2,15,28,46,40,60,86
"46","2013-520:57","French Open",2013,"Gilles Simon","Lleyton Hewitt",18,86,28.4134154689,"FRA",FALSE,136,23,3,120,22,2,"R128","Gilles Simon","Lleyton Hewitt","2013-frenchopen-1157","Gilles Simon","Lleyton Hewitt","atp","frenchopen","Week 1",96.5254237288136,91.1811594202899,7,4,41,44,11,11,18,18,10,9,14,10,49,72,67,69,118,138
"47","2013-520:58","French Open",2013,"Pablo Cuevas","Adrian Mannarino",762,110,27.4004106776,"URU",FALSE,175,26,3,160,24,2,"R128","Adrian Mannarino","Pablo Cuevas","2013-frenchopen-1158","Adrian Mannarino","Pablo Cuevas","atp","frenchopen","Week 1",89.0689655172414,87.8052631578947,5,5,54,45,22,22,34,34,6,5,20,12,57,80,94,109,145,190
"48","2013-520:6","French Open",2013,"Victor Hanescu","Bernard Tomic",54,61,31.8494182067,"ROU",TRUE,103,16,3,91,12,0,"R128","Bernard Tomic","Victor Hanescu","2013-frenchopen-1106","Bernard Tomic","Victor Hanescu","atp","frenchopen","Week 1",100.584905660377,86.7272727272727,5,6,27,36,11,11,12,12,3,1,5,11,22,34,70,55,106,88
"49","2013-520:60","French Open",2013,"Sam Querrey","Lukas Lacko",20,77,25.6372347707,"USA",FALSE,93,18,3,72,11,0,"R128","Lukas Lacko","Sam Querrey","2013-frenchopen-1160","Lukas Lacko","Sam Querrey","atp","frenchopen","Week 1",98.9220779220779,93.2727272727273,10,4,42,21,3,3,5,5,4,1,7,1,37,24,58,53,77,88
"50","2013-520:61","French Open",2013,"Julien Benneteau","Ricardas Berankis",32,67,31.4332648871,"FRA",FALSE,163,25,3,149,22,1,"R128","Julien Benneteau","Ricardas Berankis","2013-frenchopen-1161","Julien Benneteau","Ricardas Berankis","atp","frenchopen","Week 1",96.1572327044025,97.3464052287582,14,13,48,72,14,14,26,26,4,4,13,13,27,56,106,96,159,153
"51","2013-520:65","French Open",2013,"Novak Djokovic","Guido Pella",1,83,26.0150581793,"SRB",FALSE,93,18,3,58,4,0,"R64","Guido Pella","Novak Djokovic","2013-frenchopen-1201","Novak Djokovic","Guido Pella","atp","frenchopen","Week 1",105,99.8674698795181,1,1,29,10,15,15,19,19,7,0,16,1,26,34,48,38,68,83
"52","2013-520:66","French Open",2013,"Grigor Dimitrov","Lucas Pouille",28,324,22.0314852841,"BUL",FALSE,103,19,3,71,8,0,"R64","Grigor Dimitrov","Lucas Pouille","2013-frenchopen-1202","Lucas Pouille","Grigor Dimitrov","atp","frenchopen","Week 1",102.942528735632,98.5064935064935,4,1,34,15,11,11,17,17,4,1,9,6,32,36,62,44,87,77
"53","2013-520:69","French Open",2013,"Tommy Haas","Jack Sock",14,118,35.1485284052,"GER",FALSE,116,20,3,96,13,0,"R64","Jack Sock","Tommy Haas","2013-frenchopen-1205","Tommy Haas","Jack Sock","atp","frenchopen","Week 1",96.7232142857143,88.32,11,4,34,25,8,8,12,12,4,1,16,7,30,34,77,61,112,100
"54","2013-520:70","French Open",2013,"John Isner","Ryan Harrison",21,92,28.0848733744,"USA",FALSE,183,31,3,160,24,2,"R64","John Isner","Ryan Harrison","2013-frenchopen-1206","Ryan Harrison","John Isner","atp","frenchopen","Week 1",102.664556962025,91.945945945946,15,9,61,52,10,10,17,17,5,1,18,7,52,37,118,120,158,185
"55","2013-520:72","French Open",2013,"Janko Tipsarevic","Fernando Verdasco",12,53,28.9281314168,"SRB",FALSE,194,29,3,187,26,2,"R64","Fernando Verdasco","Janko Tipsarevic","2013-frenchopen-1208","Fernando Verdasco","Janko Tipsarevic","atp","frenchopen","Week 1",0,0,9,10,49,74,27,27,34,34,5,4,20,14,52,89,120,117,190,191
"56","2013-520:73","French Open",2013,"Rafael Nadal","Martin Klizan",4,35,26.9815195072,"ESP",FALSE,113,22,3,90,15,1,"R64","Martin Klizan","Rafael Nadal","2013-frenchopen-1209","Rafael Nadal","Martin Klizan","atp","frenchopen","Week 1",98.8,91.504854368932,5,6,27,32,13,13,16,16,7,4,10,7,29,57,65,55,100,103
"57","2013-520:74","French Open",2013,"Fabio Fognini","Lukas Rosol",29,36,26.0095824778,"ITA",FALSE,131,21,3,105,15,1,"R64","Fabio Fognini","Lukas Rosol","2013-frenchopen-1210","Lukas Rosol","Fabio Fognini","atp","frenchopen","Week 1",92.2363636363636,92.4523809523809,7,8,34,37,15,15,27,27,4,2,11,6,36,51,77,72,110,126
"58","2013-520:75","French Open",2013,"Benoit Paire","Lukasz Kubot",26,107,24.052019165,"FRA",FALSE,102,19,3,82,12,0,"R64","Benoit Paire","Lukasz Kubot","2013-frenchopen-1211","Benoit Paire","Lukasz Kubot","atp","frenchopen","Week 1",95.2926829268293,100.480392156863,9,1,54,23,11,11,18,18,7,4,16,6,35,26,54,54,82,102
"59","2013-520:76","French Open",2013,"Kei Nishikori","Grega Zemlja",15,50,23.40862423,"JPN",FALSE,135,23,3,110,13,1,"R64","Grega Zemlja","Kei Nishikori","2013-frenchopen-1212","Grega Zemlja","Kei Nishikori","atp","frenchopen","Week 1",80.3873873873874,88.6194029850746,4,5,43,24,7,7,11,11,12,6,24,10,56,47,64,63,111,134
"60","2013-520:79","French Open",2013,"Nikolay Davydenko","Denis Istomin",48,42,31.9835728953,"RUS",FALSE,102,19,3,80,11,0,"R64","Denis Istomin","Nikolay Davydenko","2013-frenchopen-1215","Denis Istomin","Nikolay Davydenko","atp","frenchopen","Week 1",11.3417721518987,18.8446601941748,2,3,22,19,10,10,19,19,5,1,14,1,28,41,59,60,79,103
"61","2013-520:8","French Open",2013,"Philipp Kohlschreiber","Jiri Vesely",19,127,29.6125941136,"GER",FALSE,132,21,3,120,19,1,"R128","Jiri Vesely","Philipp Kohlschreiber","2013-frenchopen-1108","Jiri Vesely","Philipp Kohlschreiber","atp","frenchopen","Week 1",89.0762711864407,101.298507462687,7,8,50,35,20,20,31,31,3,3,13,5,41,44,82,84,118,134
"62","2013-520:80","French Open",2013,"Richard Gasquet","Michal Przysiezny",9,133,26.9404517454,"FRA",FALSE,92,18,3,53,6,0,"R64","Michal Przysiezny","Richard Gasquet","2013-frenchopen-1216","Michal Przysiezny","Richard Gasquet","atp","frenchopen","Week 1",89.28125,100.654320987654,9,3,39,14,6,6,11,11,8,2,13,3,15,34,46,35,64,81
"63","2013-520:81","French Open",2013,"Gael Monfils","Ernests Gulbis",81,40,26.7351129363,"FRA",FALSE,139,25,3,132,19,1,"R64","Ernests Gulbis","Gael Monfils","2013-frenchopen-1217","Gael Monfils","Ernests Gulbis","atp","frenchopen","Week 1",104.427631578947,110.551724137931,8,3,29,52,4,4,9,9,6,4,10,12,33,68,97,75,152,116
"64","2013-520:83","French Open",2013,"Andreas Seppi","Blaz Kavcic",22,104,29.2621492129,"ITA",FALSE,176,29,3,157,22,2,"R64","Andreas Seppi","Blaz Kavcic","2013-frenchopen-1219","Andreas Seppi","Blaz Kavcic","atp","frenchopen","Week 1",87.9938650306748,91.185628742515,14,7,63,46,21,21,30,30,6,2,18,8,39,40,108,100,163,167
"65","2013-520:85","French Open",2013,"Milos Raonic","Michael Llodra",16,55,22.4147843943,"CAN",FALSE,144,23,3,127,19,1,"R64","Michael Llodra","Milos Raonic","2013-frenchopen-1221","Milos Raonic","Michael Llodra","atp","frenchopen","Week 1",110.00826446281,103.724137931034,24,14,74,43,30,30,40,40,4,2,12,7,41,26,86,89,121,145
"66","2013-520:88","French Open",2013,"David Ferrer","Albert Montanes",5,47,31.151266256,"ESP",FALSE,96,18,3,63,6,0,"R64","Albert Montanes","David Ferrer","2013-frenchopen-1224","Albert Montanes","David Ferrer","atp","frenchopen","Week 1",88.5416666666667,89.632183908046,3,3,29,28,9,9,16,16,8,2,15,3,21,36,46,37,72,87
"67","2013-520:9","French Open",2013,"Tommy Haas","Guillaume Rufin",14,98,35.1485284052,"GER",FALSE,101,19,3,78,10,0,"R128","Guillaume Rufin","Tommy Haas","2013-frenchopen-1109","Tommy Haas","Guillaume Rufin","atp","frenchopen","Week 1",104.470588235294,103.537634408602,6,2,27,16,12,12,13,13,5,0,9,4,40,33,61,53,85,93
"68","2013-520:90","French Open",2013,"Jeremy Chardy","Roberto Bautista Agut",27,68,26.2861054073,"FRA",FALSE,101,19,3,80,10,0,"R64","Jeremy Chardy","Roberto Bautista Agut","2013-frenchopen-1226","Roberto Bautista Agut","Jeremy Chardy","atp","frenchopen","Week 1",97.8556701030928,93.6,11,1,59,17,12,12,15,15,4,0,8,0,39,10,67,47,97,80
"69","2013-520:92","French Open",2013,"Marin Cilic","Nick Kyrgios",11,262,24.6598220397,"CRO",FALSE,92,18,3,57,8,0,"R64","Marin Cilic","Nick Kyrgios","2013-frenchopen-1228","Nick Kyrgios","Marin Cilic","atp","frenchopen","Week 1",93,93.1875,8,3,32,14,2,2,6,6,5,0,7,3,15,23,55,43,69,80
"70","2013-520:93","French Open",2013,"Gilles Simon","Pablo Cuevas",18,762,28.4134154689,"FRA",FALSE,126,24,3,89,10,1,"R64","Gilles Simon","Pablo Cuevas","2013-frenchopen-1229","Gilles Simon","Pablo Cuevas","atp","frenchopen","Week 1",77.49,71.8608695652174,4,2,54,23,15,15,20,20,10,2,17,5,41,39,67,56,100,115
"71","2013-520:94","French Open",2013,"Sam Querrey","Jan Hajek",20,87,25.6372347707,"USA",FALSE,107,19,3,88,13,0,"R64","Jan Hajek","Sam Querrey","2013-frenchopen-1230","Jan Hajek","Sam Querrey","atp","frenchopen","Week 1",93.178947368421,86.07,8,3,39,31,6,6,15,15,7,4,12,8,28,25,59,52,95,100
"72","2013-520:95","French Open",2013,"Julien Benneteau","Tobias Kamke",32,72,31.4332648871,"FRA",FALSE,174,25,3,183,28,2,"R64","Julien Benneteau","Tobias Kamke","2013-frenchopen-1231","Julien Benneteau","Tobias Kamke","atp","frenchopen","Week 1",88.6875,91.4772727272727,5,5,63,54,20,20,34,34,5,7,10,16,76,36,105,110,176,176
"73","2013-520:96","French Open",2013,"Roger Federer","Somdev Devvarman",3,188,31.8001368925,"SUI",FALSE,88,18,3,52,4,0,"R64","Roger Federer","Somdev Devvarman","2013-frenchopen-1232","Somdev Devvarman","Roger Federer","atp","frenchopen","Week 1",105.092307692308,93.32,3,2,54,12,2,2,10,10,7,0,14,3,33,14,48,35,65,75
"74","2013-520:97","French Open",2013,"Novak Djokovic","Grigor Dimitrov",1,28,26.0150581793,"SRB",FALSE,94,18,3,61,7,0,"R32","Grigor Dimitrov","Novak Djokovic","2013-frenchopen-1301","Novak Djokovic","Grigor Dimitrov","atp","frenchopen","Week 1",101.042253521127,103.107142857143,2,0,13,18,4,4,8,8,7,1,16,5,22,48,52,42,71,84
