"","match_id.x","tournament","year","winner_name","loser_name","winner_rank","loser_rank","winner_age","winner_ioc","Retirement","w_pointswon","w_gameswon","w_setswon","l_pointswon","l_gameswon","l_setswon","round","a1","a2","match_id.y","player1","player2","Tour","slam","week","w_ave_serve_speed","l_ave_serve_speed","w_n_aces","l_n_aces","w_n_winners","l_n_winners","w_n_netpt_w","l_n_netpt_w","w_n_netpt","l_n_netpt","w_n_bp_w","l_n_bp_w","w_n_bp","l_n_bp","w_n_ue","l_n_ue","w_n_sv_w","l_n_sv_w","w_n_sv","l_n_sv"
"2327","2017-520:124","French Open",2017,"Madison Keys","Ashleigh Barty",13,76,22.2778918549,"USA",FALSE,61,12,2,44,5,0,"R128","Ashleigh Barty","Madison Keys","2017-frenchopen-2140","Ashleigh Barty","Madison Keys","wta","frenchopen","Week 1",86.02,80.6727272727273,1,1,22,10,5,5,7,7,3,0,7,0,18,19,36,30,50,55
"2328","2017-520:125","French Open",2017,"Elena Vesnina","Beatriz Haddad Maia",15,101,30.8254620123,"RUS",FALSE,93,15,2,85,12,1,"R128","Beatriz Haddad Maia","Elena Vesnina","2017-frenchopen-2141","Elena Vesnina","Beatriz Haddad Maia","wta","frenchopen","Week 1",83.1058823529412,74.5161290322581,5,4,24,23,4,4,5,5,6,4,13,11,30,36,48,48,85,93
"2329","2017-520:125","French Open",2017,"Stan Wawrinka","Andy Murray",3,1,32.1697467488,"SUI",FALSE,179,30,3,160,24,2,"SF","Andy Murray","Stan Wawrinka","2017-frenchopen-1601","Andy Murray","Stan Wawrinka","atp","frenchopen","Week 2",93.9156626506024,84.849710982659,6,1,87,36,16,16,30,30,9,5,14,12,77,36,106,100,166,173
"2330","2017-520:126","French Open",2017,"Rafael Nadal","Dominic Thiem",4,7,30.9869952088,"ESP",FALSE,94,18,3,61,7,0,"SF","Dominic Thiem","Rafael Nadal","2017-frenchopen-1602","Rafael Nadal","Dominic Thiem","atp","frenchopen","Week 2",98.2027027027027,89.7654320987654,2,3,23,21,9,9,13,13,6,1,10,8,22,34,54,41,74,81
"2331","2017-520:127","French Open",2017,"Rafael Nadal","Stan Wawrinka",4,3,30.9869952088,"ESP",FALSE,94,18,3,57,6,0,"F","Rafael Nadal","Stan Wawrinka","2017-frenchopen-1701","Stan Wawrinka","Rafael Nadal","atp","frenchopen","Week 2",107.461538461538,106.96511627907,4,1,27,19,10,10,12,12,6,0,13,1,12,29,50,42,65,86
"2332","2017-520:127","French Open",2017,"Sorana Cirstea","Shuai Peng",64,36,27.1430527036,"ROU",FALSE,57,12,2,38,4,0,"R128","Shuai Peng","Sorana Cirstea","2017-frenchopen-2143","Sorana Cirstea","Shuai Peng","wta","frenchopen","Week 1",0,0,2,1,23,12,2,2,2,2,5,1,7,3,12,14,32,21,49,46
"2333","2017-520:128","French Open",2017,"Carla Suarez Navarro","Maria Sakkari",23,99,28.733744011,"ESP",FALSE,64,12,2,45,6,0,"R128","Carla Suarez Navarro","Maria Sakkari","2017-frenchopen-2144","Maria Sakkari","Carla Suarez Navarro","wta","frenchopen","Week 1",0,0,0,0,17,14,5,5,7,7,6,3,13,4,17,21,26,29,42,67
"2334","2017-520:13","French Open",2017,"Hyeon Chung","Sam Querrey",67,28,21.0266940452,"KOR",FALSE,122,21,3,102,16,1,"R128","Hyeon Chung","Sam Querrey","2017-frenchopen-1113","Sam Querrey","Hyeon Chung","atp","frenchopen","Week 1",87.3557692307692,84.0583333333333,6,19,29,42,19,19,25,25,6,3,8,10,23,54,72,70,104,120
"2335","2017-520:130","French Open",2017,"Marketa Vondrousova","Amandine Hesse",96,215,17.9192334018,"CZE",FALSE,55,12,2,25,1,0,"R128","Amandine Hesse","Marketa Vondrousova","2017-frenchopen-2146","Marketa Vondrousova","Amandine Hesse","wta","frenchopen","Week 1",75.5588235294118,74.7608695652174,1,1,18,6,5,5,6,6,6,0,9,0,10,18,25,16,34,46
"2336","2017-520:131","French Open",2017,"Tatjana Maria","Ying Ying Duan",102,66,29.8069815195,"GER",FALSE,64,12,2,46,5,0,"R128","Tatjana Maria","Ying Ying Duan","2017-frenchopen-2147","Ying Ying Duan","Tatjana Maria","wta","frenchopen","Week 1",0,0,1,1,8,22,10,10,17,17,5,2,11,7,6,29,37,21,62,48
