team,season,points_scored,points_allowed,wins,losses,ties,pass_off_epa_per_att,pass_off_total_epa,pass_off_total_yards_gained,pass_off_yards_gained_per_att,run_off_epa_per_att,run_off_total_epa,run_off_total_yards_gained,run_off_yards_gained_per_att,pass_def_epa_per_att,pass_def_total_epa,pass_def_total_yards_allowed,pass_def_yards_allowed_per_att,run_def_epa_per_att,run_def_total_epa,run_def_total_yards_allowed,run_def_yards_allowed_per_att,division
PIT,2009,368,324,9,7,0,0.1245783500253492,72.13086466467719,4148,7.139414802065405,-0.06531053289675229,-26.973250086358693,1807,4.375302663438257,-0.02755881050757763,-16.314815820485958,3452,5.821247892074199,-0.040692577773512616,-14.812098309558591,1448,3.978021978021978,AFC North
PIT,2010,375,232,12,4,0,0.17304039113733577,88.07755908890391,3600,7.045009784735812,-0.070214101565499,-32.228272618564034,1936,4.208695652173913,-0.11201738267432579,-70.90700323284823,3427,5.388364779874214,-0.19344363327910477,-63.06262444898815,1011,3.091743119266055,AFC North
PIT,2011,325,227,12,4,0,0.10960808437193306,63.13425659823345,4054,7.013840830449827,-0.031147850066484503,-13.019801327790521,1916,4.583732057416268,-0.07483024075119066,-41.53078361691082,2751,4.9125,-0.07556135445503706,-29.84673500973964,1602,4.035264483627204,AFC North
PIT,2012,336,314,8,8,0,0.06724364977538608,40.27894621545626,3778,6.275747508305648,-0.15724722117111523,-63.68512457430167,1561,3.854320987654321,-0.040763574604843804,-22.664547480293155,2965,5.3231597845601435,-0.09221799556587579,-34.95062031946692,1465,3.865435356200528,AFC North
PIT,2013,379,370,8,8,0,0.10463996807361779,63.307180684538764,3692,6.311111111111111,-0.15444330907160878,-58.84290075628294,1299,3.7114285714285713,-0.02735293479337324,-16.19293739767696,3228,5.723404255319149,0.0038896151528693356,1.6064110581350357,1739,4.369346733668341,AFC North
PIT,2014,436,368,11,5,0,0.23239740140017134,148.26954209330933,4818,7.539906103286385,-0.08502489285487992,-34.35005671337149,1768,4.376237623762377,0.12853337026439532,73.77815453176292,4057,7.055652173913043,-0.05005890783411533,-18.02120682028152,1605,4.458333333333333,AFC North
PIT,2015,423,319,10,6,0,0.0979508040263551,61.61105573257736,4612,7.309033280507132,0.028164754441319526,10.336464879964266,1744,4.739130434782608,0.09263419064127634,61.694370967090045,4352,6.534534534534535,-0.1698693903124749,-63.19141319624066,1471,3.954301075268817,AFC North
PIT,2016,399,327,11,5,0,0.16303851677173478,101.2469189152473,4203,6.757234726688103,-0.020459702626332822,-8.040663132148799,1776,4.50761421319797,0.05172747064332639,32.174486740149014,3884,6.2144,-0.044958760688770735,-16.320030130023778,1605,4.40934065934066,AFC North
PIT,2017,406,308,13,3,0,0.17474750249261067,106.94547152547773,4392,7.176470588235294,-0.054349048717800864,-22.60920426660516,1696,4.067146282973621,-0.0674381001597012,-37.09095508783565,3219,5.842105263157895,0.003218165748645542,1.2229029844853059,1701,4.464566929133858,AFC North
PIT,2018,428,360,9,6,1,0.18038629048626464,128.25465253573415,5016,7.044943820224719,0.02106188193889172,6.971482921773159,1462,4.4169184290030215,0.042149848459032455,25.922156802304958,3699,5.985436893203883,0.03804078461537544,13.618600892304407,1549,4.314763231197771,AFC North
CLE,2009,245,375,5,11,0,-0.28336649373695527,-132.3321525751581,2076,4.426439232409382,-0.098009399171252,-48.22062439225598,2094,4.2303030303030305,0.11752785604847153,64.75784868270782,3909,7.06871609403255,-0.009478881423997701,-4.673088542030867,2331,4.728194726166328,AFC North
CLE,2010,271,332,5,11,0,-0.09448670186084016,-47.43232433414176,2978,5.873767258382643,-0.12152966466361298,-48.61186586544519,1661,4.14214463840399,0.08549331120445583,45.396948249566044,3531,6.649717514124294,-0.059784432530802595,-29.23458750756247,2084,4.253061224489796,AFC North
CLE,2011,218,307,4,12,0,-0.08861786528976504,-53.17071917385903,3088,5.112582781456954,-0.11189667131095712,-45.31815188093764,1543,3.8098765432098767,-0.005045514410980104,-2.5076206622571116,2962,5.947791164658635,-0.010573008742327274,-5.487391537267856,2370,4.566473988439307,AFC North
CLE,2012,302,368,5,11,0,-0.08963402432660793,-53.24261045000511,3435,5.7634228187919465,-0.05005106240056637,-19.519914336220886,1600,4.102564102564102,0.05410982813540803,34.08919172530706,3925,6.220285261489699,-0.0927451971126426,-40.90063192667539,1911,4.323529411764706,AFC North
CLE,2013,308,406,4,12,0,-0.08718684232012681,-62.77452647049131,3421,5.136636636636637,-0.05658283359541834,-19.351329089633072,1234,4.154882154882155,0.015589632208827297,10.008543878067124,3123,5.231155778894473,-0.04521117201495163,-19.93812685859367,1598,4.205263157894737,AFC North
CLE,2014,299,337,7,9,0,-0.014530590769419276,-7.672151926253378,3485,6.5754716981132075,-0.1192546900380605,-55.93044962785037,1714,3.646808510638298,-0.07726028974925567,-46.819735588048935,3587,5.909390444810544,-0.024944134548108402,-12.197681794025009,2272,4.636734693877551,AFC North
CLE,2015,278,432,3,13,0,-0.0474453588349395,-31.26649147222513,3786,5.72768532526475,-0.09402157135207502,-35.16406768567606,1537,4.0986666666666665,0.1498205597062685,80.60346112197246,4016,7.450834879406308,-0.02005335158484673,-8.903688103671948,2069,4.65990990990991,AFC North
CLE,2016,264,452,1,15,0,-0.03427376449202606,-21.489650336500336,3268,5.179080824088748,-0.08852245724737719,-30.628770207592506,1714,4.925287356321839,0.2470838183563378,139.8494411896872,4000,7.067137809187279,0.027222555998682424,13.202939659360975,2295,4.712525667351129,AFC North
CLE,2017,234,410,0,16,0,-0.27191862386935395,-167.7737909273914,3228,5.21486268174475,0.008124684498561581,3.0955047939519624,1718,4.49738219895288,0.09148999349745578,50.95992637808286,3656,6.563734290843806,-0.12833341668919226,-57.365037260068945,1598,3.5669642857142856,AFC North
CLE,2018,359,392,7,8,1,-0.013051543412913778,-8.000596112116146,4011,6.53257328990228,0.011518845929124553,4.607538371649821,1909,4.7725,0.033440787924997585,21.970597666723414,4129,6.275075987841945,0.0016692172679582194,0.7478093360452822,2176,4.857142857142857,AFC North
NO,2009,510,341,13,3,0,0.23360314926105655,131.28496988471377,4346,7.733096085409253,-0.011078160537980846,-4.996250402629362,2130,4.712389380530974,-0.06838088045136048,-40.755004749010844,3763,6.2716666666666665,0.073647163164009,31.520985834195855,1967,4.595794392523365,NFC South
NO,2010,384,307,11,5,0,0.1131532380935102,77.17050837977396,4455,6.532258064516129,-0.07162918693189735,-26.14465323014253,1531,4.183060109289618,-0.01162290626570428,-6.090402883229043,3107,5.895635673624288,-0.10494315790285769,-43.02669474017165,1806,4.383495145631068,NFC South
NO,2011,547,339,13,3,0,0.3399345753079443,239.65387559210075,5643,8.004255319148935,0.051651858949433624,22.055343771408157,2155,5.023310023310024,0.06613818780163998,43.981894888090586,4425,6.594634873323398,0.02373621261336885,8.426355477745942,1780,4.972067039106145,NFC South
