shot_x,shot_y,shot_distance,is_shot_made,period,shot_type
-157,134,20,FALSE,3,2PT Field Goal
92,253,26,FALSE,3,3PT Field Goal
14,-8,1,TRUE,3,2PT Field Goal
-165,241,29,TRUE,3,3PT Field Goal
52,252,25,FALSE,3,3PT Field Goal
-8,86,8,FALSE,3,2PT Field Goal
-158,215,26,FALSE,3,3PT Field Goal
220,70,23,FALSE,3,3PT Field Goal
-231,-21,23,FALSE,4,3PT Field Goal
-16,183,18,FALSE,4,2PT Field Goal
-30,247,24,TRUE,4,3PT Field Goal
11,-4,1,FALSE,4,2PT Field Goal
-8,11,1,TRUE,1,2PT Field Goal
-122,267,29,TRUE,1,3PT Field Goal
22,-3,2,TRUE,1,2PT Field Goal
180,176,25,FALSE,1,3PT Field Goal
232,-5,23,FALSE,2,3PT Field Goal
-7,201,20,TRUE,2,2PT Field Goal
4,18,1,TRUE,2,2PT Field Goal
-18,4,1,TRUE,2,2PT Field Goal
146,206,25,TRUE,2,3PT Field Goal
-68,36,7,TRUE,1,2PT Field Goal
8,299,29,TRUE,1,3PT Field Goal
-3,70,7,TRUE,1,2PT Field Goal
-5,22,2,FALSE,1,2PT Field Goal
33,278,27,FALSE,1,3PT Field Goal
87,185,20,TRUE,2,2PT Field Goal
2,269,26,TRUE,2,3PT Field Goal
-16,59,6,FALSE,2,2PT Field Goal
-150,206,25,TRUE,3,3PT Field Goal
63,263,27,FALSE,3,3PT Field Goal
1,20,2,FALSE,3,2PT Field Goal
9,55,5,TRUE,3,2PT Field Goal
-230,-16,23,TRUE,3,3PT Field Goal
217,147,26,FALSE,3,3PT Field Goal
-5,26,2,TRUE,3,2PT Field Goal
62,276,28,TRUE,3,3PT Field Goal
116,279,30,TRUE,3,3PT Field Goal
131,248,28,FALSE,3,3PT Field Goal
142,218,26,TRUE,4,3PT Field Goal
-7,225,22,FALSE,4,2PT Field Goal
-17,20,2,TRUE,1,2PT Field Goal
-18,262,26,TRUE,1,3PT Field Goal
-2,22,2,FALSE,1,2PT Field Goal
-143,239,27,FALSE,1,3PT Field Goal
-169,216,27,FALSE,1,3PT Field Goal
3,190,19,TRUE,1,2PT Field Goal
5,13,1,FALSE,1,2PT Field Goal
-77,175,19,FALSE,1,2PT Field Goal
5,18,1,TRUE,2,2PT Field Goal
-183,220,28,TRUE,2,3PT Field Goal
55,22,5,FALSE,2,2PT Field Goal
116,242,26,FALSE,3,3PT Field Goal
-86,155,17,TRUE,3,2PT Field Goal
-190,182,26,FALSE,3,3PT Field Goal
-19,8,2,TRUE,3,2PT Field Goal
24,46,5,FALSE,3,2PT Field Goal
185,168,24,TRUE,3,3PT Field Goal
171,235,29,FALSE,3,3PT Field Goal
76,263,27,FALSE,3,3PT Field Goal
0,26,2,TRUE,3,2PT Field Goal
-230,1,23,FALSE,4,3PT Field Goal
-220,122,25,TRUE,4,3PT Field Goal
11,21,2,TRUE,4,2PT Field Goal
-138,214,25,FALSE,4,3PT Field Goal
-171,264,31,FALSE,1,3PT Field Goal
93,197,21,FALSE,1,2PT Field Goal
146,244,28,FALSE,1,3PT Field Goal
-78,151,16,FALSE,1,2PT Field Goal
-147,277,31,TRUE,1,3PT Field Goal
-114,154,19,FALSE,1,2PT Field Goal
-12,26,2,FALSE,1,2PT Field Goal
36,26,4,FALSE,2,2PT Field Goal
-8,127,12,TRUE,2,2PT Field Goal
-218,138,25,TRUE,2,3PT Field Goal
-100,157,18,FALSE,2,2PT Field Goal
103,157,18,TRUE,3,2PT Field Goal
3,40,4,TRUE,3,2PT Field Goal
158,219,27,FALSE,3,3PT Field Goal
103,3,10,FALSE,3,2PT Field Goal
-205,179,27,TRUE,3,3PT Field Goal
-19,19,2,FALSE,3,2PT Field Goal
-55,104,11,FALSE,1,2PT Field Goal
14,31,3,TRUE,1,2PT Field Goal
158,236,28,FALSE,1,3PT Field Goal
-49,38,6,TRUE,1,2PT Field Goal
-57,267,27,FALSE,2,3PT Field Goal
119,153,19,FALSE,2,2PT Field Goal
133,179,22,TRUE,2,2PT Field Goal
40,257,26,FALSE,2,3PT Field Goal
96,91,13,FALSE,2,2PT Field Goal
-98,169,19,TRUE,2,2PT Field Goal
17,20,2,FALSE,2,2PT Field Goal
88,165,18,FALSE,3,2PT Field Goal
188,25,18,TRUE,3,2PT Field Goal
-150,253,29,FALSE,3,3PT Field Goal
-146,239,28,FALSE,1,3PT Field Goal
-133,241,27,FALSE,1,3PT Field Goal
-131,231,26,FALSE,1,3PT Field Goal
-11,22,2,TRUE,2,2PT Field Goal
11,19,2,FALSE,2,2PT Field Goal
-167,36,17,FALSE,2,2PT Field Goal
76,125,14,TRUE,2,2PT Field Goal
158,250,29,FALSE,2,3PT Field Goal
-58,495,49,FALSE,2,3PT Field Goal
-133,244,27,TRUE,3,3PT Field Goal
-218,170,27,TRUE,3,3PT Field Goal
-50,16,5,TRUE,3,2PT Field Goal
24,106,10,FALSE,4,2PT Field Goal
9,17,1,TRUE,4,2PT Field Goal
-44,28,5,FALSE,4,2PT Field Goal
-78,273,28,TRUE,4,3PT Field Goal
-117,278,30,FALSE,4,3PT Field Goal
-25,27,3,TRUE,4,2PT Field Goal
35,31,4,FALSE,4,2PT Field Goal
-8,221,22,TRUE,4,2PT Field Goal
15,28,3,TRUE,4,2PT Field Goal
-131,220,25,TRUE,1,3PT Field Goal
-222,-7,22,TRUE,1,3PT Field Goal
207,150,25,TRUE,1,3PT Field Goal
-4,17,1,TRUE,1,2PT Field Goal
-4,8,0,TRUE,1,2PT Field Goal
-33,247,24,TRUE,1,3PT Field Goal
-127,221,25,FALSE,1,3PT Field Goal
137,215,25,FALSE,2,3PT Field Goal
-4,9,0,TRUE,2,2PT Field Goal
23,252,25,FALSE,2,3PT Field Goal
-35,248,25,FALSE,2,3PT Field Goal
-187,170,25,TRUE,3,3PT Field Goal
-6,13,1,FALSE,3,2PT Field Goal
-201,36,20,FALSE,3,2PT Field Goal
199,-11,19,FALSE,4,2PT Field Goal
0,12,1,TRUE,4,2PT Field Goal
8,257,25,TRUE,4,3PT Field Goal
154,120,19,FALSE,1,2PT Field Goal
-136,213,25,TRUE,1,3PT Field Goal
-135,246,28,FALSE,1,3PT Field Goal
12,19,2,TRUE,1,2PT Field Goal
-15,262,26,TRUE,1,3PT Field Goal
231,-4,23,TRUE,1,3PT Field Goal
190,269,32,TRUE,1,3PT Field Goal
-5,4,0,TRUE,1,2PT Field Goal
-103,148,18,FALSE,2,2PT Field Goal
-221,24,22,FALSE,2,3PT Field Goal
-172,208,26,TRUE,2,3PT Field Goal
-192,193,27,TRUE,2,3PT Field Goal
-87,315,32,FALSE,2,3PT Field Goal
-161,220,27,TRUE,3,3PT Field Goal
26,6,2,FALSE,3,2PT Field Goal
178,174,24,FALSE,3,3PT Field Goal
-2,-6,0,FALSE,4,2PT Field Goal
37,247,24,TRUE,4,3PT Field Goal
107,227,25,TRUE,4,3PT Field Goal
188,180,26,FALSE,4,3PT Field Goal
128,137,18,FALSE,1,2PT Field Goal
-191,226,29,TRUE,1,3PT Field Goal
-51,259,26,TRUE,1,3PT Field Goal
3,12,1,FALSE,1,2PT Field Goal
-196,221,29,FALSE,2,3PT Field Goal
-6,0,0,TRUE,2,2PT Field Goal
-72,265,27,FALSE,2,3PT Field Goal
-11,10,1,TRUE,3,2PT Field Goal
