pitch_type,release_speed,release_spin_rate,plate_x,plate_z,type,balls,strikes,events
FF,97,2423,0.3504,2.4166,X,1,1,single
FF,96.7,2386,0.3375,1.9928,S,1,0,NA
FF,96.1,2339,1.9235,1.3294,B,0,0,NA
FF,97.5,2347,1.0026,2.2247,X,2,1,field_out
FF,96.5,2448,-0.0675,2.3427,S,2,0,NA
FF,96.8,2402,-0.5539,3.4925,B,1,0,NA
FF,98,2471,1.4312,0.5452,B,0,0,NA
CH,90.8,1684,-0.6151,1.9943,X,1,0,field_out
CH,90.4,1646,-2.0376,3.6012,B,0,0,NA
FT,97.5,2302,0.506,2.2699,X,1,2,field_out
SL,92.9,2502,1.6476,-0.0303,B,0,2,NA
FF,97.4,2382,0.622,1.9471,S,0,1,NA
FF,97.3,2319,0.3426,1.664,S,0,0,NA
CH,90.5,1673,-0.9492,2.1443,X,0,0,field_out
SL,91.3,2582,0.6397,2.1124,S,3,2,strikeout
SL,92,2616,1.4481,1.4396,B,2,2,NA
SL,90.8,2703,1.6227,1.253,B,1,2,NA
FT,96.8,2256,0.3847,2.5106,S,1,2,NA
FF,98.3,2393,1.2115,1.951,B,0,2,NA
FF,97.8,2360,0.3154,2.2755,S,0,1,NA
FF,97,2372,0.6018,2.6273,S,0,0,NA
FF,97,2471,-0.1201,2.8608,X,1,0,field_out
FF,96.6,2449,1.2718,1.3583,B,0,0,NA
SL,91.4,2439,1.0972,2.5157,S,1,2,strikeout
FT,97.3,2363,0.4346,2.7222,S,1,1,NA
FF,96.5,2326,0.9989,2.8752,B,0,1,NA
FF,97,2331,0.5801,2.0901,S,0,0,NA
CU,84.4,2469,0.5451,2.3289,X,2,1,single
FF,96.6,2405,-0.0558,2.5611,S,2,0,NA
FF,96.8,2356,-0.9902,2.5543,B,1,0,NA
FF,97.3,2383,0.8708,1.4104,B,0,0,NA
CH,90,1689,0.3682,1.9899,X,0,1,field_out
FF,96.8,2456,0.2366,1.8292,S,0,0,NA
CH,90.6,1727,-0.2947,2.2274,X,1,1,field_out
FF,96.8,2417,0.2011,2.7957,S,1,0,NA
FF,96.8,2296,0.6201,1.4779,B,0,0,NA
CH,90.8,1798,-0.3069,2.7178,X,3,2,field_out
SL,93.3,2523,2.2052,1.0981,B,2,2,NA
FF,97.6,2437,0.258,3.1094,S,2,2,NA
FT,96.4,2309,1.5408,2.8009,B,1,2,NA
CH,90.9,1689,0.0333,2.3217,S,1,1,NA
CH,90,1726,-2.3162,2.8623,B,0,1,NA
CU,84.3,2528,-0.3052,2.4647,S,0,0,NA
FT,97.7,2324,0.3266,3.2968,S,0,2,strikeout
FF,98.4,2400,0.5998,2.6149,S,0,1,NA
FF,97.3,2413,0.3131,2.3009,S,0,0,NA
SL,92.5,2465,1.2872,1.6927,S,1,2,strikeout
