pitch_type,release_speed,release_spin_rate,plate_x,plate_z,type,balls,strikes,events
FF,96.8,2371,1.1068,3.2597,S,2,2,NA
FF,96.1,2470,0.9257,3.0394,S,2,1,NA
FF,95.6,2516,0.445,4.0269,S,2,0,NA
CH,90.6,1819,0.9584,0.5462,B,1,0,NA
FF,96.2,2472,1.4058,3.3158,B,0,0,NA
FF,97.1,2426,-0.0194,3.8883,X,0,2,field_out
FF,96.4,2447,-0.239,4.0433,S,0,2,NA
FF,96.3,2459,0.6719,3.7715,S,0,1,NA
FF,96.4,2349,0.4946,3.4862,S,0,0,NA
SL,91.3,2481,0.2646,2.3042,X,1,1,grounded_into_double_play
SL,90.9,2572,1.1775,2.56,B,0,1,NA
CU,83.1,2588,-0.1001,2.228,S,0,0,NA
SL,90.7,2650,0.7967,2.4562,X,0,1,single
SL,90.7,2532,1.4288,2.0813,S,0,0,NA
SL,92,2605,1.838,1.2328,S,1,2,strikeout
FT,98.4,2475,1.0736,2.0423,B,0,2,NA
FF,97.5,2638,0.8324,2.3729,S,0,2,NA
CH,90.8,1748,0.5472,1.9582,S,0,1,NA
FF,97.3,2568,0.7063,2.9015,S,0,0,NA
SL,91.6,2571,0.7976,2.908,X,1,1,field_out
SL,92.1,2597,0.74,2.9001,S,1,0,NA
FF,96.8,2448,1.819,2.8312,B,0,0,NA
FF,95.5,2422,0.4665,3.8651,S,2,2,strikeout
CU,81.5,2717,0.8452,0.2369,B,1,2,NA
CU,78.8,2576,-0.4451,2.2823,S,1,1,NA
CU,82,NA,0.5864,2.0532,S,1,0,NA
CU,80.8,NA,0.541,0.6158,B,0,0,NA
FT,97.6,2470,1.3148,3.056,B,3,2,walk
FT,97.6,2533,0.8694,3.4457,B,2,2,NA
SL,91.6,2614,0.283,2.6981,S,2,1,NA
SL,91.4,2705,1.5124,2.2,B,1,1,NA
FF,96.3,2442,1.1464,2.3438,B,0,1,NA
FF,96.3,2475,0.4394,2.8689,S,0,0,NA
CH,91,1847,-0.0492,2.1075,X,0,1,field_out
FF,96.3,2457,-0.6355,2.2095,S,0,0,NA
FF,97.2,2500,0.6878,3.032,X,1,1,field_out
FF,97.1,2490,0.6871,3.5417,S,1,0,NA
FF,97.2,2452,1.0394,2.597,B,0,0,NA
FF,98.1,2474,0.4043,2.8945,X,1,2,field_out
FF,96.7,2534,0.2049,3.1045,S,1,1,NA
CH,90.6,1848,-0.9778,1.8336,B,0,1,NA
FF,95.8,2503,0.0921,2.9978,S,0,0,NA
FF,98.9,2580,0.7528,2.6967,X,2,2,field_out
CU,84.8,2856,-0.5774,1.9937,S,2,1,NA
FF,98,2584,-0.1256,2.5152,S,2,0,NA
FF,97.9,2591,1.6319,2.4172,B,1,0,NA
CU,85.3,2714,0.7863,1.425,B,0,0,NA
SL,93.2,2685,0.3347,2.5976,X,2,0,field_out
FF,98,2598,1.2309,1.2683,B,1,0,NA
FF,98.4,2598,1.2991,0.811,B,0,0,NA
FT,96.4,2364,-0.1021,2.7778,X,2,1,home_run
FF,97.3,2546,0.7483,1.8602,S,2,0,NA
FF,97.2,2468,0.8993,1.7098,B,1,0,NA
SL,93.1,2549,1.3897,1.308,B,0,0,NA
FF,97.5,2418,0.7899,2.2468,X,3,2,field_out
SL,91.9,2630,-0.1579,2.4156,S,3,2,NA
FF,98.6,2515,0.5182,1.3401,B,2,2,NA
CH,91.8,1867,-0.4443,0.7615,B,1,2,NA
SL,91,2614,0.3372,1.6534,B,0,2,NA
FF,96.5,2375,0.2488,2.6966,S,0,1,NA
FF,97.1,2318,0.1076,2.2261,S,0,0,NA
FF,97.2,2413,-0.5384,3.1352,X,2,2,grounded_into_double_play
FF,98,2428,-0.5832,2.6025,S,2,1,NA
SL,91.2,2483,1.5884,1.5751,B,1,1,NA
FF,97.7,2439,1.0165,4.277,B,0,1,NA
SL,91.7,2506,1.1987,1.3859,S,0,0,NA
FF,97.6,2257,0.5981,3.1994,S,1,2,strikeout
SL,91.8,2504,1.2052,1.5672,S,1,2,NA
FF,96.7,2453,1.1911,3.1429,S,1,1,NA
SL,92.8,2439,1.4641,1.8347,B,0,1,NA
SL,93.3,2425,0.7623,0.7386,S,0,0,NA
FT,95.8,2289,-0.9789,3.5136,B,3,1,walk
FF,95.8,2311,-0.4089,2.9651,S,3,0,NA
FT,96.8,2258,-0.9773,3.5563,B,2,0,NA
FT,96.3,2280,-1.0957,2.5552,B,1,0,NA
FF,97.2,2408,0.7475,3.8646,B,0,0,NA
SL,91.2,2611,0.0723,2.64,X,0,2,single
FT,98.2,2402,-0.637,3.1174,S,0,2,NA
FT,97.1,2287,-0.3262,3.2361,S,0,1,NA
SL,91.5,2463,1.1358,1.9991,S,0,0,NA
SL,93.4,2550,1.2303,2.314,S,3,2,strikeout
FF,98,2500,0.8643,4.4512,B,2,2,NA
FT,98.1,2365,-0.6397,3.5771,S,2,2,NA
FF,97.7,2443,0.2711,3.5308,S,2,1,NA
FF,97.2,2484,-0.0164,2.7363,S,2,0,NA
FT,97.8,2348,-1.0145,3.8123,B,1,0,NA
CH,91.2,1861,0.0648,0.3181,B,0,0,NA
FF,97.8,2365,0.1299,2.5797,X,0,0,sac_fly
CH,90.1,1704,0.3349,1.9895,X,0,1,single
FT,95.9,2259,0.0868,2.1762,S,0,0,NA
SL,89.7,2457,0.0815,3.0167,X,0,0,force_out
FT,97.1,2137,-0.3189,2.231,X,0,0,single
SL,93.3,2488,0.1209,2.1026,X,1,1,field_out
FF,98.5,2387,-2.0566,4.0071,B,0,1,NA
CH,90.3,1489,-0.1665,2.3149,S,0,0,NA
FF,97.4,2363,0.7216,3.3542,S,1,2,strikeout
SL,93.3,2528,2.1553,0.9952,B,0,2,NA
FF,96.9,2360,0.5815,3.2159,S,0,1,NA
SL,90.4,2412,0.7715,2.7008,S,0,0,NA
SL,91.2,2370,-0.3763,2.379,X,1,0,field_out
FF,97.2,2436,1.286,3.4524,B,0,0,NA
CH,88.5,1588,-0.4272,2.4503,X,0,1,single
CU,80,2516,0.2447,1.9941,S,0,0,NA
FT,98.9,2070,-0.1098,1.4261,X,0,0,field_out
SL,92.5,2567,1.4113,1.9814,X,1,2,force_out
FF,97.2,2373,0.0939,3.1036,S,1,2,NA
FF,96.7,2224,0.8895,3.1161,S,1,1,NA
FF,96.7,2310,0.4322,2.8311,S,1,0,NA
CH,90,1672,-1.259,2.9608,B,0,0,NA
FF,98.5,2300,-0.6148,2.631,S,1,2,strikeout
SL,93,2434,-0.417,2.7299,S,1,2,NA
CH,89.6,1700,0.0834,2.425,S,1,1,NA
FF,97.2,2386,0.0935,4.9406,B,0,1,NA
CH,88.6,1541,-0.4886,2.3346,S,0,0,NA
FF,98.1,2336,0.625,3.1016,X,1,2,single
CH,88.9,1635,-0.2561,2.9997,S,1,1,NA
SL,91,2443,0.6509,1.5672,S,1,0,NA
SL,90.3,2504,1.0421,2.4257,B,0,0,NA
FT,97.5,2364,-0.2037,2.2908,X,2,1,field_out
CH,90.3,1740,0.5237,1.5682,B,1,1,NA
CH,91.2,1652,0.4245,0.9711,B,0,1,NA
CH,90.2,1657,0.1578,1.016,S,0,0,NA
FT,97.7,2315,0.2051,2.3503,X,0,0,single
SL,92.2,2333,-0.3456,1.9178,X,0,0,single
FF,96.9,2159,-0.1772,2.7141,X,3,2,field_out
SL,92.4,2209,0,3.3853,S,3,1,NA
CH,88.8,1587,-1.4068,3.932,B,2,1,NA
FT,98.3,2286,-1.5026,3.2999,B,1,1,NA
FF,98.7,2518,0.2396,2.3759,S,1,0,NA
CH,91.7,1709,-0.661,1.3952,B,0,0,NA
SL,93.3,2498,-0.4769,2.0247,S,2,2,strikeout
CU,84.1,2657,0.5228,1.5481,S,2,2,NA
FF,98,2467,-0.9788,3.9915,B,1,2,NA
CH,91.4,1934,0.9962,1.2153,S,1,1,NA
CH,90.6,1690,-0.1807,1.4661,B,0,1,NA
FT,96.8,2241,0.045,1.7045,S,0,0,NA
FT,98.7,2337,-1.0319,3.3608,S,2,2,strikeout
FF,98.4,2410,0.249,3.3015,S,2,1,NA
CH,90.5,1605,-1.9761,3.5168,B,1,1,NA
CU,85.3,2609,-0.2468,1.2288,B,0,1,NA
FT,98.1,2294,-0.3894,3.7898,S,0,0,NA
SL,93.2,2320,0.4367,1.8149,X,2,2,field_out
FF,98,2360,0.8771,3.5186,B,1,2,NA
FF,98.5,2314,-0.1227,3.0078,S,1,1,NA
SL,92.5,2506,-0.5316,3.1871,S,1,0,NA
FF,98.3,2355,0.9706,1.5176,B,0,0,NA
FF,97.6,2333,-0.3455,2.5081,S,2,2,strikeout
FF,97,2303,0.0233,3.8958,S,2,1,NA
FF,96.4,2378,-0.1527,3.0983,S,2,0,NA
FF,97.1,2318,-0.447,3.5729,B,1,0,NA
FF,97.6,2386,-0.1304,3.4571,B,0,0,NA
SL,92.4,2330,1.7012,2.2193,S,0,2,strikeout
FF,98.3,2390,0.7469,3.5539,S,0,1,NA
FF,98.5,2347,-0.4056,3.1095,S,0,0,NA
FF,99.4,2463,-0.9216,2.1782,S,0,2,strikeout
SL,93.4,2523,0.262,3.1501,S,0,1,NA
FF,98.4,2498,-0.2246,2.9054,S,0,0,NA
FF,99.2,2427,0.6296,2.1297,X,0,2,field_out
CH,90.3,1694,-0.5705,2.4983,S,0,1,NA
FT,97.8,2241,-0.6761,2.167,S,0,0,NA
FF,99.7,2545,0.1729,2.9938,S,0,2,strikeout
FF,99.2,2478,0.4178,2.8075,S,0,1,NA
FF,99.1,2439,0.5997,2.4112,S,0,0,NA
FF,98.2,2433,0.9057,2.5221,X,0,1,field_out
FT,97.4,2131,-0.8014,2.0487,S,0,0,NA
FF,99.3,2468,1.0326,2.0911,X,0,1,single
FF,98.4,2373,1.3694,2.5554,S,0,0,NA
FF,98.4,2412,0.4329,2.3503,X,1,1,field_out
FF,96.9,2215,0.5315,3.2412,S,1,0,NA
FF,97.3,2222,1.0993,4.1657,B,0,0,NA
FF,96.4,2370,0.0645,2.8682,S,1,2,strikeout
FF,95.1,2349,0.536,3.6914,S,1,1,NA
CH,86.6,1909,-0.8381,2.8171,S,1,0,NA
FF,95.8,2412,0.3608,3.8983,B,0,0,NA
FF,97.2,2398,-0.0449,3.5737,S,1,2,strikeout
FF,95.7,2456,1.0849,2.8511,S,1,1,NA
CH,87.5,1853,-0.5754,2.5556,S,1,0,NA
FF,95.4,2420,1.2766,2.8686,B,0,0,NA
FF,95.5,2474,0.9343,2.4394,S,1,2,strikeout
CH,86.7,1793,-0.8103,2.4456,S,1,2,NA
FT,94.5,2295,-0.7184,3.9449,S,1,2,NA
SL,90.1,2444,1.0828,3.5659,B,0,2,NA
FT,94.3,2213,-0.3879,2.9284,S,0,1,NA
SL,88.3,2470,0.5921,2.5944,S,0,0,NA
CH,87.2,1762,-0.7353,3.4646,B,3,1,walk
CH,88.8,1944,0.7979,0.5514,B,2,1,NA
FF,95,2423,-0.83,3.981,B,1,1,NA
CH,88.4,1835,-0.3403,1.0824,S,1,0,NA
FT,93.3,2319,-1.2301,3.3618,B,0,0,NA
FF,96.9,2405,0.9545,2.5615,S,1,2,strikeout
FF,95.2,2435,0.2553,3.6432,S,1,1,NA
FF,95.1,2425,0.3812,2.1002,S,1,0,NA
SL,90.8,2576,1.363,2.1986,B,0,0,NA
CH,88.6,1748,-0.6886,2.8706,X,2,2,field_out
CU,82.9,2637,0.7528,-1.1054,B,1,2,NA
FT,95.2,2221,-0.4928,2.2208,S,1,1,NA
CU,81.9,2499,-0.4142,2.758,S,1,0,NA
CU,83,2489,0.7245,1.5994,B,0,0,NA
CH,88.5,1757,0.0589,0.9609,S,1,2,strikeout
FT,95.4,2304,-1.1146,2.3174,S,1,2,NA
SL,90.3,2633,1.5303,2.3951,B,0,2,NA
SL,89.5,2471,0.735,3.2232,S,0,1,NA
FF,94.8,2330,0.4308,1.8204,S,0,0,NA
FF,96.7,2569,-0.0105,3.6109,X,0,2,field_out
FF,96.3,2527,0.3851,1.9133,S,0,1,NA
FT,94.9,2353,0.4304,3.1411,S,0,0,NA
SL,90.1,2374,0.0707,2.9397,X,0,0,double
SL,88.9,2498,0.8136,3.5535,B,3,2,walk
CH,88,1714,0.5686,1.2049,B,2,2,NA
CH,86.9,1829,-1.8739,2.6294,B,1,2,NA
FF,94.6,2329,-0.4948,3.0572,B,0,2,NA
CH,86.9,1805,-0.2859,2.3026,S,0,1,NA
SL,89.1,2452,0.8818,2.3411,S,0,0,NA
CH,87.8,1821,0.1116,2.9032,X,0,0,field_out
CH,88,1876,0.2095,2.2869,X,1,2,single
CH,87.5,1772,-0.1942,1.6087,S,1,1,NA
SL,89.8,2375,-0.0485,2.8593,S,1,0,NA
CU,82.8,2579,0.9611,-0.6288,B,0,0,NA
CH,88.3,1913,-0.7348,1.9608,X,0,1,field_out
CH,87.8,1653,-0.2458,1.3356,S,0,0,NA
FT,95.5,2283,-0.1177,3.5777,S,0,2,strikeout
CH,89,1638,0.6464,2.2366,S,0,1,NA
FF,96.3,2334,0.5394,3.5397,S,0,0,NA
CH,89.4,1761,-0.9669,2.2993,X,1,2,field_out
FF,95.7,2414,-1.1013,4.3296,B,0,2,NA
FF,94.7,2427,0.1845,3.8432,S,0,1,NA
FF,95,2378,-0.06,3.469,S,0,0,NA
CH,87.7,1696,-0.0021,1.2033,S,3,2,strikeout
CH,88.1,1630,-1.7324,3.1336,B,2,2,NA
FT,96,2282,-0.2407,2.6042,S,2,2,NA
SL,90.3,2395,-0.0053,2.7487,S,2,1,NA
SL,90.9,2413,0.8366,2.2308,S,2,0,NA
SL,90.1,2458,0.2279,3.3509,B,1,0,NA
FF,95.5,2352,-0.1095,1.684,B,0,0,NA
FF,94.8,2318,-1.0773,3.3325,B,3,1,walk
FF,95.7,2436,1.1909,2.5013,B,2,1,NA
FF,95.8,2412,-0.8162,3.041,S,2,0,NA
CH,88.8,1711,-1.0953,2.9641,B,1,0,NA
CU,82.8,2544,0.6609,1.1402,B,0,0,NA
FF,95,2386,0.5094,2.7194,S,2,2,strikeout
SL,90.1,2598,0.5836,2.9508,S,2,2,NA
FF,95,2352,0.4428,4.0888,B,1,2,NA
SL,90.3,2524,0.4144,2.6378,S,1,1,NA
CU,83.2,2581,0.9035,2.0081,S,1,0,NA
CU,82.9,2570,1.7077,1.6974,B,0,0,NA
SL,91,2452,0.4681,1.96,X,2,1,grounded_into_double_play
CH,88,1862,0.2962,1.193,B,1,1,NA
CH,88.1,1832,0.397,0.8451,B,0,1,NA
SL,90.5,2489,0.0177,2.1311,S,0,0,NA
SL,90.7,2514,1.0081,2.1507,X,1,2,single
FF,95.9,2259,0.2348,3.1839,S,1,2,NA
CH,88.4,1776,-0.9433,2.5986,S,1,1,NA
CH,87.8,1780,-1.4208,2.8549,B,0,1,NA
CU,82.3,2518,-0.718,1.7706,S,0,0,NA
CH,88.1,1872,-0.6521,1.535,S,0,2,strikeout
FT,96,2367,-0.2475,2.4606,S,0,2,NA
SL,90.4,2551,0.3806,3.2273,S,0,1,NA
SL,89.9,2479,0.8904,2.931,S,0,0,NA
CH,90.1,1786,-0.5926,1.6405,X,1,2,field_out
FF,97.7,2475,0.2285,1.3269,B,0,2,NA
SL,91.8,2395,0.8585,2.3187,S,0,1,NA
FF,96,2392,0.1169,3.1991,S,0,0,NA
CH,88.8,1843,1.0635,0.7404,B,3,2,walk
CH,89.5,1862,1.0682,0.366,B,2,2,NA
FF,95.6,2384,-0.4795,3.4096,B,1,2,NA
CH,88.8,1746,0.0405,0.8478,S,1,1,NA
SL,92.6,2535,-0.3702,2.7816,S,1,0,NA
FF,96.5,2443,0.7424,1.3989,B,0,0,NA
SL,91.2,2515,-0.2479,3.383,X,3,2,single
CH,90.1,1649,-0.2767,0.7892,B,2,2,NA
FF,96.7,2394,0.2693,4.5898,B,1,2,NA
FF,96.5,2354,0.1168,3.5288,S,1,1,NA
CU,84.5,NA,-0.2819,2.5085,S,1,0,NA
FF,96.3,2336,-0.1449,3.4052,B,0,0,NA
FF,96.5,2400,0.089,3.0448,S,0,2,strikeout
FT,96.5,2336,0.7104,2.3138,S,0,2,NA
SL,91.1,2542,0.602,1.9201,S,0,1,NA
FF,96.2,2404,0.0491,2.092,S,0,0,NA
FF,99.1,2396,0.4497,2.4749,X,0,2,field_out
FF,99,2479,-0.0823,2.8282,S,0,1,NA
FF,98.3,2437,-0.5843,2.3361,S,0,0,NA
SL,92.8,2534,0.3282,1.7604,X,0,0,grounded_into_double_play
SL,92.6,2558,-0.3093,1.9611,X,2,2,single
FF,97.4,2448,-0.6324,4.3052,B,1,2,NA
CH,90.8,1656,-0.7919,1.7704,S,1,1,NA
CU,84.7,2705,0.0513,1.3046,S,1,0,NA
FF,97.1,2373,0.3351,3.6248,B,0,0,NA
FF,98,2428,0.6135,3.131,S,2,2,strikeout
CH,91.2,1711,-0.1639,1.7427,S,2,1,NA
SL,92.9,2480,0.9593,1.3876,B,1,1,NA
SL,93,2505,1.0483,2.3536,B,0,1,NA
SL,92.6,2427,0.817,2.2667,S,0,0,NA
FF,96.9,2430,0.3938,2.6247,X,0,1,single
FF,98.1,2433,-0.6015,2.0283,S,0,0,NA
SL,93,2582,1.3939,2.4861,S,0,2,strikeout
FF,97.5,2440,0.1084,3.8104,S,0,2,NA
FF,96.5,2443,0.5224,2.9833,S,0,1,NA
FF,97.3,2441,-0.9003,2.4882,S,0,0,NA
CH,89.7,1673,-0.5103,2.2183,X,1,1,field_out
FF,96.8,2364,0.9566,4.0419,B,0,1,NA
CH,88.1,1658,-0.511,3.4182,S,0,0,NA
CH,89.5,1653,-0.4813,1.9401,X,0,0,force_out
FT,96.7,2272,-0.23,2.244,X,0,1,single
SL,92,2483,0.9024,1.9496,S,0,0,NA
CH,91.3,1664,-0.7611,1.9692,X,0,0,single
CH,90.1,1692,0.2928,2.2628,X,2,2,field_out
CH,90.8,1711,1.0109,0.8677,B,1,2,NA
CH,90.9,1589,0.6738,1.937,S,1,2,NA
FF,97.6,2399,-0.018,3.4406,S,1,2,NA
SL,93.1,2497,1.8081,1.7022,B,0,2,NA
CH,90.4,1713,0.2232,1.3533,S,0,1,NA
FF,97.1,2450,-0.2734,2.4039,S,0,0,NA
SL,93.8,2452,-0.0847,2.666,S,3,2,strikeout
FF,97.7,2466,1.0303,2.4384,S,3,1,NA
FF,98,2483,-0.0639,2.883,S,3,0,NA
SL,92.7,2462,0.6328,3.667,B,2,0,NA
SL,93.1,2477,1.1094,3.0849,B,1,0,NA
CH,89.7,1647,-0.0547,1.0543,B,0,0,NA
CH,89.4,1603,0.4147,2.0081,X,1,1,double
FF,97.1,2437,0.8133,2.0621,S,1,0,NA
SL,91.7,2610,0.5228,1.4368,B,0,0,NA
FF,96.9,2396,0.5243,3.2702,X,0,1,field_out
CU,82.4,NA,-0.2238,1.635,S,0,0,NA
FF,97.4,2460,0.5066,3.5247,S,1,2,strikeout
CH,88.3,1723,-0.8623,2.0506,S,1,1,NA
CU,81.8,2611,-0.1165,2.8844,S,1,0,NA
CU,81.9,NA,0.3885,1.0448,B,0,0,NA
FF,98.1,2244,0.3818,3.3618,S,0,2,strikeout
FF,97.5,2246,0.4202,3.092,S,0,1,NA
FF,96.5,2273,0.3461,2.0347,S,0,0,NA
CH,90.3,1702,-0.8092,2.4959,X,2,1,field_out
CH,90.1,1676,-1.0036,2.9797,B,1,1,NA
FF,96.5,2344,-0.3288,3.1365,S,1,0,NA
FF,96.8,2444,-0.9434,4.1211,B,0,0,NA
SL,91.5,2534,-0.0343,2.1132,X,0,0,field_out
SL,94.1,2585,-0.5925,2.7413,S,2,2,strikeout
CH,88.9,1630,-0.8352,1.1156,B,1,2,NA
FF,96.8,2457,0.3161,4.3759,B,0,2,NA
CH,88.9,1715,-0.6842,2.6098,S,0,1,NA
CH,88.8,1627,-0.9474,2.32,S,0,0,NA
CH,88.6,1682,0.0699,1.8625,S,2,2,strikeout
FT,96.5,2231,-0.5656,2.8971,S,2,1,NA
CH,89.7,1657,0.7605,1.4281,S,2,0,NA
CH,90.2,1737,1.4466,0.3665,B,1,0,NA
CH,89.8,1721,1.4233,1.272,B,0,0,NA
FF,96.6,2398,0.5797,2.7826,X,1,1,field_out
SL,92.2,2466,0.5809,3.1708,S,1,0,NA
SL,92,2490,0.8581,3.5301,B,0,0,NA
FT,96.4,2282,0.8483,2.1766,X,1,2,single
FT,95,2348,-0.1689,3.3921,S,1,1,NA
CH,88.8,1630,0.7973,2.0356,S,1,0,NA
FF,96,2288,1.3834,3.5416,B,0,0,NA
FF,97.8,2375,-0.1676,3.0883,X,1,2,field_out
CH,90.4,1666,-0.0941,0.9564,S,1,1,NA
CH,89.2,1649,-1.7337,2.0419,B,0,1,NA
FF,96,2252,-0.3498,3.1261,S,0,0,NA
FF,97.1,2397,-0.5098,2.8881,X,1,2,field_out
FF,96.5,2301,1.1999,3.0906,S,1,1,NA
FF,95.4,2318,0.7896,2.8413,S,1,0,NA
FF,96.4,2323,0.0864,3.9677,B,0,0,NA
SL,90.6,2426,0.5055,2.0649,X,2,2,field_out
FF,95.6,2314,0.9995,4.2152,B,1,2,NA
FF,96.6,2378,1.0329,3.5529,B,0,2,NA
CH,88.8,1573,0.4167,1.8956,S,0,1,NA
CU,81.2,2503,0.0679,2.2484,S,0,0,NA
FF,96.9,2332,0.6699,3.3997,X,0,0,field_out
FT,95,2175,-0.3677,2.4706,X,1,1,double
SL,92.1,2663,0.9928,1.3986,S,1,0,NA
FF,96.3,2405,1.0941,2.0226,B,0,0,NA
FF,96.6,2450,1.0599,2.4727,X,1,1,field_out
FF,96.2,2256,-0.165,2.4072,S,1,0,NA
CH,89.2,1617,-0.0763,1.4893,B,0,0,NA
CH,88.2,1619,-0.0267,2.9587,X,1,1,field_out
CU,82.7,2595,0.3461,2.1381,S,1,0,NA
CU,83.3,NA,1.1879,1.2237,B,0,0,NA
FF,96.4,2353,-0.0179,2.5769,X,1,0,field_out
CU,84.4,2597,-0.899,1.6338,B,0,0,NA
FT,96.8,2196,-0.1151,3.4831,S,2,2,strikeout
FT,97.2,2216,1.2364,0.8481,B,1,2,NA
CH,89.7,1655,0.0884,1.9738,S,1,1,NA
FF,97,2346,0.4112,2.4258,S,1,0,NA
SL,92.3,2518,0.4952,0.8521,B,0,0,NA
SL,92.2,2483,-0.3135,2.1258,S,0,2,strikeout
FF,97.6,2526,-0.299,3.2091,S,0,2,NA
FF,96.3,2385,-0.0238,2.9719,S,0,1,NA
FF,94.8,2363,-0.6525,3.4635,S,0,0,NA
SL,92,2496,0.8154,1.2075,S,1,2,strikeout
CH,88.4,1555,-1.5721,3.1126,S,1,1,NA
FT,95.9,2181,-1.3128,1.9465,B,0,1,NA
FF,95.8,2364,-0.1438,2.7476,S,0,0,NA
FF,96.5,2393,-0.081,2.1042,X,3,2,field_out
FF,94.3,2263,-0.5417,2.2925,S,3,1,NA
FF,94.5,2238,-1.014,1.9611,B,2,1,NA
SL,91.2,2392,1.8358,2.6081,B,1,1,NA
FF,94.6,2358,-0.454,2.7518,S,1,0,NA
FF,95,2339,-0.7861,3.4006,B,0,0,NA
SL,92.8,2585,1.7466,1.9129,S,0,2,strikeout
FT,95.4,2261,-0.9534,1.5447,S,0,1,NA
SL,91.2,2581,0.7092,2.9344,S,0,0,NA
FF,96,2451,-0.6542,2.8018,S,1,2,strikeout
FF,95.2,2448,-0.1837,3.4055,S,1,1,NA
FF,94.8,2420,-0.2223,4.3084,B,0,1,NA
CH,90.1,1769,0.4337,1.3797,S,0,0,NA
FT,94.6,2202,-0.5888,2.2359,X,3,1,field_out
FF,94.5,2331,0.6507,2.8857,S,3,0,NA
FF,95.3,2339,-1.1229,2.3341,B,2,0,NA
CH,88.3,1600,1.5126,1.2675,B,1,0,NA
CH,88,1578,0.5312,0.7016,B,0,0,NA
CH,84.8,1526,-0.5616,2.2603,S,1,2,strikeout
CH,88.6,1688,-0.4978,1.3529,B,0,2,NA
SL,92.2,2381,0.6921,3.4151,S,0,1,NA
FT,95.7,2173,-0.2189,3.0792,S,0,0,NA
CH,88.3,1563,-1.1753,1.998,X,2,1,single
SL,92.5,2389,1.0607,3.0872,B,1,1,NA
CH,89.8,1692,-1.7442,1.3163,B,0,1,NA
CH,88.5,1660,-0.5758,2.1924,S,0,0,NA
SL,92.6,2494,1.111,1.2324,S,3,2,strikeout
SL,91.9,2512,1.2991,1.8427,B,2,2,NA
FT,96.3,2080,0.1483,2.8462,S,2,2,NA
SL,92.1,2425,0.6985,1.5612,S,2,1,NA
CH,88.6,1562,-1.9121,2.8909,B,1,1,NA
FT,95.5,2299,-0.3134,1.9573,S,1,0,NA
FT,95,2266,-1.4086,3.8185,B,0,0,NA
CU,82.3,2587,-0.3435,2.1773,X,2,1,double
CH,88.3,1518,-1.062,3.451,B,1,1,NA
CH,89.6,1655,-0.7497,1.2753,B,0,1,NA
CH,88.9,1559,-0.5928,2.8088,S,0,0,NA
FF,95.9,2309,-0.3693,4.0659,S,1,2,strikeout
CH,89.9,1759,-0.2964,0.6703,B,0,2,NA
FT,94.8,2284,-0.1508,1.567,S,0,1,NA
CU,80.8,NA,-0.3978,2.507,S,0,0,NA
SL,92.2,2472,-0.0174,1.5095,X,1,2,field_out
FF,96.6,2251,-0.0964,3.8654,S,1,2,NA
SL,93.4,2393,0.4085,2.9081,S,1,1,NA
CH,91.4,1631,0.4136,0.3895,B,0,1,NA
CH,90.8,1684,0.2921,2.3943,S,0,0,NA
SL,92.8,2554,1.7789,1.7392,S,1,2,strikeout
CH,90.2,1575,0.1363,1.4135,S,1,1,NA
CH,89.7,1585,-0.6717,0.8872,B,0,1,NA
CU,82.9,2379,-0.1444,2.8223,S,0,0,NA
FF,95.7,2291,0.0483,3.7488,S,0,2,strikeout
SL,91.2,2398,0.1419,2.994,S,0,1,NA
CU,82,NA,-0.9207,2.0689,S,0,0,NA
CH,89.4,1632,-0.687,2.2255,X,0,2,field_out
FT,95.2,2155,-0.1819,1.8274,S,0,1,NA
CU,84.6,NA,1.1864,1.8593,S,0,0,NA
FF,96.9,2303,0.6925,3.2657,X,0,1,single
CH,90.3,1634,0.256,2.1468,S,0,0,NA
FF,97.1,2439,-0.3928,2.9625,X,0,2,field_out
CH,89.9,1568,-0.1975,1.396,S,0,1,NA
CH,89.8,1727,-0.934,1.6463,S,0,0,NA
FT,97,2309,-0.2848,2.2324,X,1,0,force_out
FT,97,2270,-1.0806,2.2806,B,0,0,NA
FF,96.3,2292,-0.4449,3.4747,B,3,2,walk
SL,92.3,2321,-1.189,2.5764,B,2,2,NA
FF,96.1,2290,-0.7578,3.5282,B,1,2,NA
FF,97.4,2426,-0.1645,2.273,S,1,2,NA
SL,92.4,2429,-1.6285,2.3218,B,0,2,NA
SL,92.4,2488,0.453,2.3417,S,0,1,NA
CU,84.5,2478,-0.2746,1.7708,S,0,0,NA
SL,92.9,2507,0.4364,1.5751,X,2,1,single
FF,96.1,2305,-0.0998,3.5543,S,2,0,NA
CU,84.5,NA,0.1443,0.9401,B,1,0,NA
FF,96.5,2329,0.1379,1.138,B,0,0,NA
FF,97.4,2389,0.3555,3.8725,S,0,2,strikeout
FF,97.6,2335,0.5032,3.3711,S,0,1,NA
CU,84.6,2540,0.0213,2.6926,S,0,0,NA
FF,96.6,2388,0.7097,3.0273,X,1,2,field_out
CH,89.6,1730,-0.2294,1.0522,S,1,2,NA
CH,90.3,1709,0.1727,1.1663,S,1,2,NA
FT,96.8,2231,0.5364,2.663,S,1,2,NA
SL,91.8,2447,0.9871,2.8116,S,1,1,NA
SL,92.7,2546,0.1936,1.0923,B,0,1,NA
FF,96.6,2344,0.012,2.3113,S,0,0,NA
FF,97.1,2414,-0.5253,3.8482,S,1,2,strikeout
FF,96.8,2540,0.7442,3.0648,S,1,1,NA
