year,league,team_id,team_name,win_world_series,final_rank,games_played,wins,losses,runs_scored,hits,at_bats,walks,strikeouts,homeruns,hit_by_pitch,sacrifice_flies,runs_allowed,hits_allowed,walks_allowed,strikeouts_against,homeruns_allowed
1876,NL,BSN,Boston Red Caps,NA,4,70,39,31,471,723,2722,58,98,9,NA,NA,450,732,104,77,7
1876,NL,CHN,Chicago White Stockings,NA,1,66,52,14,624,926,2748,70,45,8,NA,NA,257,608,29,51,6
1876,NL,CN1,Cincinnati Reds,NA,8,65,9,56,238,555,2372,41,136,4,NA,NA,579,850,34,60,9
1876,NL,HAR,Hartford Dark Blues,NA,2,69,47,21,429,711,2664,39,78,2,NA,NA,261,570,27,114,2
1876,NL,LS1,Louisville Grays,NA,5,69,30,36,280,641,2570,24,98,6,NA,NA,344,605,38,125,3
1876,NL,NY3,New York Mutuals,NA,6,57,21,35,260,494,2180,18,35,2,NA,NA,412,718,24,37,8
1876,NL,PHN,Philadelphia Athletics,NA,7,60,14,45,378,646,2387,27,36,7,NA,NA,534,783,41,22,2
1876,NL,SL3,St. Louis Brown Stockings,NA,3,64,45,19,386,642,2478,59,63,2,NA,NA,229,472,39,103,3
1877,NL,BSN,Boston Red Caps,NA,1,61,42,18,419,700,2368,65,121,4,NA,NA,263,557,38,177,5
1877,NL,CHN,Chicago White Stockings,NA,5,60,26,33,366,633,2273,57,111,0,NA,NA,375,630,58,92,7
1877,NL,CN1,Cincinnati Reds,NA,6,58,15,42,291,545,2135,78,110,6,NA,NA,485,747,61,85,4
1877,NL,HAR,Hartford Dark Blues,NA,3,60,31,27,341,637,2358,30,97,4,NA,NA,311,572,56,99,2
1877,NL,LS1,Louisville Grays,NA,2,61,35,25,339,659,2355,58,140,9,NA,NA,288,617,41,141,4
1877,NL,SL3,St. Louis Brown Stockings,NA,4,60,28,32,284,531,2178,57,147,1,NA,NA,318,582,92,132,2
1878,NL,BSN,Boston Red Caps,NA,1,60,41,19,298,535,2220,35,154,2,NA,NA,241,595,38,184,6
1878,NL,CHN,Chicago White Stockings,NA,4,61,30,30,371,677,2333,88,157,3,NA,NA,331,577,35,175,4
1878,NL,CN1,Cincinnati Reds,NA,2,61,37,23,333,629,2281,58,141,5,NA,NA,281,546,63,220,2
1878,NL,IN1,Indianapolis Blues,NA,5,63,24,36,293,542,2300,64,197,3,NA,NA,328,621,87,182,3
1878,NL,ML2,Milwaukee Grays,NA,6,61,15,45,256,552,2212,69,214,2,NA,NA,386,589,55,147,3
1878,NL,PRO,Providence Grays,NA,3,62,33,27,353,604,2298,50,218,8,NA,NA,337,609,86,173,5
1879,NL,BFN,Buffalo Bisons,NA,3,79,46,32,394,733,2906,78,314,2,NA,NA,365,698,47,198,3
1879,NL,BSN,Boston Red Caps,NA,2,84,54,30,562,883,3217,90,222,20,NA,NA,348,757,46,230,9
1879,NL,CHN,Chicago White Stockings,NA,4,83,46,33,437,808,3116,73,294,3,NA,NA,411,762,57,211,5
1879,NL,CL2,Cleveland Blues,NA,6,82,27,55,322,666,2987,37,214,4,NA,NA,461,818,116,287,4
1879,NL,CN1,Cincinnati Reds,NA,5,81,43,37,485,813,3085,66,207,8,NA,NA,464,756,81,246,11
1879,NL,PRO,Providence Grays,NA,1,85,59,25,612,1003,3392,91,172,12,NA,NA,355,765,62,329,9
1879,NL,SR1,Syracuse Stars,NA,7,71,22,48,276,592,2611,28,238,5,NA,NA,462,775,52,132,4
1879,NL,TRN,Troy Trojans,NA,8,77,19,56,321,673,2841,45,182,4,NA,NA,543,840,47,210,13
1880,NL,BFN,Buffalo Bisons,NA,7,85,24,58,331,669,2962,90,327,3,NA,NA,502,879,78,186,10
1880,NL,BSN,Boston Red Caps,NA,6,86,40,44,416,779,3080,105,221,20,NA,NA,456,840,86,187,2
1880,NL,CHN,Chicago White Stockings,NA,1,86,67,17,538,876,3135,104,217,4,NA,NA,317,622,129,367,8
1880,NL,CL2,Cleveland Blues,NA,3,85,47,37,387,726,3002,76,237,7,NA,NA,337,685,98,289,4
1880,NL,CN1,Cincinnati Reds,NA,8,83,21,59,296,649,2895,75,267,7,NA,NA,472,785,88,208,10
1880,NL,PRO,Providence Grays,NA,2,87,52,32,419,793,3196,89,186,8,NA,NA,299,663,51,286,7
1880,NL,TRN,Troy Trojans,NA,4,83,41,42,392,755,3007,120,260,5,NA,NA,438,760,112,169,8
