year,league,team_id,team_name,win_world_series,final_rank,games_played,wins,losses,runs_scored,hits,at_bats,walks,strikeouts,homeruns,hit_by_pitch,sacrifice_flies,runs_allowed,hits_allowed,walks_allowed,strikeouts_against,homeruns_allowed
1925,AL,DET,Detroit Tigers,N,4,156,81,73,903,1621,5371,640,386,50,NA,NA,829,1582,556,419,70
1925,NL,NY1,New York Giants,N,2,152,86,66,736,1507,5327,411,494,114,NA,NA,702,1532,408,446,73
1925,AL,NYA,New York Yankees,N,7,156,69,85,706,1471,5353,470,482,110,NA,NA,774,1560,505,492,78
1925,AL,PHA,Philadelphia Athletics,N,2,153,88,64,831,1659,5399,453,432,76,NA,NA,713,1468,544,495,60
1925,NL,PHI,Philadelphia Phillies,N,6,153,68,85,812,1598,5412,456,542,100,NA,NA,930,1753,444,371,117
1925,NL,PIT,Pittsburgh Pirates,Y,1,153,95,58,912,1651,5372,499,363,78,NA,NA,715,1526,387,386,81
1925,AL,SLA,St. Louis Browns,N,3,154,82,71,900,1620,5440,498,375,110,NA,NA,906,1588,675,419,99
1925,NL,SLN,St. Louis Cardinals,N,4,153,77,76,828,1592,5329,446,414,109,NA,NA,764,1480,470,428,86
1925,AL,WS1,Washington Senators,N,1,152,96,55,829,1577,5206,533,427,56,NA,NA,670,1434,543,463,49
1926,AL,BOS,Boston Red Sox,N,8,154,46,107,562,1325,5185,465,450,32,NA,NA,835,1520,546,336,45
1926,NL,BRO,Brooklyn Robins,N,6,155,71,82,623,1348,5130,475,464,40,NA,NA,705,1440,472,517,50
1926,NL,BSN,Boston Braves,N,7,153,66,86,624,1444,5216,426,348,16,NA,NA,719,1536,455,408,46
1926,AL,CHA,Chicago White Sox,N,5,155,81,72,730,1508,5220,556,381,32,NA,NA,665,1426,506,458,47
1926,NL,CHN,Chicago Cubs,N,4,155,82,72,682,1453,5229,445,447,66,NA,NA,602,1407,486,508,39
1926,NL,CIN,Cincinnati Reds,N,2,157,87,67,747,1541,5320,454,333,35,NA,NA,651,1449,324,424,40
1926,AL,CLE,Cleveland Indians,N,2,154,88,66,738,1529,5293,455,332,27,NA,NA,612,1412,450,381,49
1926,AL,DET,Detroit Tigers,N,6,157,79,75,793,1547,5315,599,423,36,NA,NA,830,1570,555,469,58
1926,NL,NY1,New York Giants,N,5,151,74,77,663,1435,5167,339,420,73,NA,NA,668,1370,427,419,70
1926,AL,NYA,New York Yankees,N,1,155,91,63,847,1508,5221,642,580,121,NA,NA,713,1442,478,486,56
1926,AL,PHA,Philadelphia Athletics,N,3,150,83,67,677,1359,5046,523,452,61,NA,NA,570,1362,451,571,38
1926,NL,PHI,Philadelphia Phillies,N,8,152,58,93,687,1479,5254,422,479,75,NA,NA,900,1699,454,331,68
1926,NL,PIT,Pittsburgh Pirates,N,3,157,84,69,769,1514,5312,434,350,44,NA,NA,689,1422,455,387,50
1926,AL,SLA,St. Louis Browns,N,7,155,62,92,682,1449,5259,437,465,72,NA,NA,845,1549,654,337,86
1926,NL,SLN,St. Louis Cardinals,Y,1,156,89,65,817,1541,5381,478,518,90,NA,NA,678,1423,397,365,76
1926,AL,WS1,Washington Senators,N,4,152,81,69,802,1525,5223,555,369,43,NA,NA,761,1489,566,418,45
1927,AL,BOS,Boston Red Sox,N,8,154,51,103,597,1348,5207,430,456,28,NA,NA,856,1603,558,381,56
1927,NL,BRO,Brooklyn Robins,N,6,154,65,88,541,1314,5193,368,494,39,NA,NA,619,1382,418,574,63
1927,NL,BSN,Boston Braves,N,7,155,60,94,651,1498,5370,346,363,37,NA,NA,771,1602,468,402,43
1927,AL,CHA,Chicago White Sox,N,5,153,70,83,662,1433,5157,493,389,36,NA,NA,708,1467,440,365,55
1927,NL,CHN,Chicago Cubs,N,4,153,85,68,750,1505,5303,481,492,74,NA,NA,661,1439,514,465,50
1927,NL,CIN,Cincinnati Reds,N,5,153,75,78,643,1439,5185,402,332,29,NA,NA,653,1472,316,407,36
1927,AL,CLE,Cleveland Indians,N,6,153,66,87,668,1471,5202,381,366,26,NA,NA,766,1542,508,366,37
1927,AL,DET,Detroit Tigers,N,4,156,82,71,845,1533,5299,587,420,51,NA,NA,805,1542,577,421,52
1927,NL,NY1,New York Giants,N,3,155,92,62,817,1594,5372,461,462,109,NA,NA,720,1520,453,442,77
1927,AL,NYA,New York Yankees,Y,1,155,110,44,975,1644,5347,635,605,158,NA,NA,599,1403,409,431,42
1927,AL,PHA,Philadelphia Athletics,N,2,155,91,63,841,1606,5296,551,326,56,NA,NA,726,1467,442,553,65
1927,NL,PHI,Philadelphia Phillies,N,8,155,51,103,678,1487,5317,434,482,57,NA,NA,903,1710,462,377,84
1927,NL,PIT,Pittsburgh Pirates,N,1,156,94,60,817,1648,5397,437,355,54,NA,NA,659,1400,418,435,58
1927,AL,SLA,St. Louis Browns,N,7,155,59,94,724,1440,5220,443,420,55,NA,NA,904,1592,604,385,79
1927,NL,SLN,St. Louis Cardinals,N,2,153,92,61,754,1450,5207,484,511,84,NA,NA,665,1416,363,394,72
1927,AL,WS1,Washington Senators,N,3,157,85,69,782,1549,5389,498,359,29,NA,NA,730,1434,491,497,53
1928,AL,BOS,Boston Red Sox,N,8,154,57,96,589,1356,5132,389,512,38,NA,NA,770,1492,452,407,49
1928,NL,BRO,Brooklyn Robins,N,6,155,77,76,665,1393,5243,557,510,66,NA,NA,640,1378,468,551,59
1928,NL,BSN,Boston Braves,N,7,153,50,103,631,1439,5228,447,377,52,NA,NA,878,1596,524,343,100
1928,AL,CHA,Chicago White Sox,N,5,155,72,82,656,1405,5207,469,488,24,NA,NA,725,1518,501,418,66
1928,NL,CHN,Chicago Cubs,N,3,154,91,63,714,1460,5260,508,517,92,NA,NA,615,1383,508,531,56
1928,NL,CIN,Cincinnati Reds,N,5,153,78,74,648,1449,5184,386,330,32,NA,NA,686,1516,410,355,58
1928,AL,CLE,Cleveland Indians,N,7,155,62,92,674,1535,5386,377,426,34,NA,NA,830,1615,511,416,52
1928,AL,DET,Detroit Tigers,N,6,154,68,86,744,1476,5292,469,438,62,NA,NA,804,1481,567,451,58
1928,NL,NY1,New York Giants,N,2,155,93,61,807,1600,5459,444,376,118,NA,NA,653,1454,405,399,77
1928,AL,NYA,New York Yankees,Y,1,154,101,53,894,1578,5337,562,544,133,NA,NA,685,1466,452,487,59
1928,AL,PHA,Philadelphia Athletics,N,2,153,98,55,829,1540,5226,533,442,89,NA,NA,615,1349,424,607,66
1928,NL,PHI,Philadelphia Phillies,N,8,152,43,109,660,1396,5234,503,510,85,NA,NA,957,1660,675,404,108
1928,NL,PIT,Pittsburgh Pirates,N,4,152,85,67,837,1659,5371,435,352,52,NA,NA,704,1422,446,385,66
1928,AL,SLA,St. Louis Browns,N,3,154,82,72,772,1431,5217,548,479,63,NA,NA,742,1487,454,456,93
1928,NL,SLN,St. Louis Cardinals,N,1,154,95,59,807,1505,5357,568,438,113,NA,NA,636,1470,399,422,86
1928,AL,WS1,Washington Senators,N,4,155,75,79,718,1510,5320,481,390,40,NA,NA,705,1420,466,462,40
1929,AL,BOS,Boston Red Sox,N,8,155,58,96,605,1377,5160,413,494,28,NA,NA,803,1537,496,416,78
1929,NL,BRO,Brooklyn Robins,N,6,153,70,83,755,1535,5273,504,454,99,NA,NA,888,1553,549,549,92
1929,NL,BSN,Boston Braves,N,8,154,56,98,657,1481,5291,408,432,33,NA,NA,876,1604,530,366,103
1929,AL,CHA,Chicago White Sox,N,7,152,59,93,627,1406,5248,425,436,37,NA,NA,792,1481,505,328,84
1929,NL,CHN,Chicago Cubs,N,1,156,98,54,982,1655,5471,589,567,139,NA,NA,758,1542,537,548,77
1929,NL,CIN,Cincinnati Reds,N,7,155,66,88,686,1478,5269,412,347,34,NA,NA,760,1558,413,347,61
1929,AL,CLE,Cleveland Indians,N,3,152,81,71,717,1525,5187,453,363,62,NA,NA,736,1570,488,389,56
1929,AL,DET,Detroit Tigers,N,6,155,70,84,926,1671,5592,521,496,110,NA,NA,928,1641,646,467,73
1929,NL,NY1,New York Giants,N,3,152,84,67,897,1594,5388,482,405,136,NA,NA,709,1536,387,431,102
1929,AL,NYA,New York Yankees,N,2,154,88,66,899,1587,5379,554,518,142,NA,NA,775,1475,485,484,83
1929,AL,PHA,Philadelphia Athletics,Y,1,151,104,46,901,1539,5204,543,440,122,NA,NA,615,1371,487,573,73
1929,NL,PHI,Philadelphia Phillies,N,5,154,71,82,897,1693,5484,573,470,153,NA,NA,1032,1743,616,369,122
1929,NL,PIT,Pittsburgh Pirates,N,2,154,88,65,904,1663,5490,503,335,60,NA,NA,780,1530,439,409,96
1929,AL,SLA,St. Louis Browns,N,4,154,79,73,733,1426,5174,589,431,46,NA,NA,713,1469,462,415,100
1929,NL,SLN,St. Louis Cardinals,N,4,154,78,74,831,1569,5364,490,455,100,NA,NA,806,1604,474,453,101
1929,AL,WS1,Washington Senators,N,5,153,71,81,730,1445,5237,556,400,48,NA,NA,776,1429,496,494,48
1930,AL,BOS,Boston Red Sox,N,8,154,52,102,612,1393,5286,358,552,47,NA,NA,814,1515,488,356,75
1930,NL,BRO,Brooklyn Robins,N,4,154,86,68,871,1654,5433,481,541,122,NA,NA,738,1480,394,526,115
1930,NL,BSN,Boston Braves,N,6,154,70,84,693,1503,5356,332,397,66,NA,NA,835,1624,475,424,117
1930,AL,CHA,Chicago White Sox,N,7,154,62,92,729,1496,5419,389,479,63,NA,NA,884,1629,407,471,74
1930,NL,CHN,Chicago Cubs,N,2,156,90,64,998,1722,5581,588,635,171,NA,NA,870,1642,528,601,111
1930,NL,CIN,Cincinnati Reds,N,7,154,59,95,665,1475,5245,445,489,74,NA,NA,857,1650,394,361,75
1930,AL,CLE,Cleveland Indians,N,4,154,81,73,890,1654,5439,490,461,72,NA,NA,915,1663,528,441,85
1930,AL,DET,Detroit Tigers,N,5,154,75,79,783,1504,5297,461,508,82,NA,NA,833,1507,570,574,86
1930,NL,NY1,New York Giants,N,3,154,87,67,959,1769,5553,422,382,143,NA,NA,814,1546,439,522,117
1930,AL,NYA,New York Yankees,N,3,154,86,68,1062,1683,5448,644,569,152,NA,NA,898,1566,524,572,93
1930,AL,PHA,Philadelphia Athletics,Y,1,154,102,52,951,1573,5345,599,531,125,NA,NA,751,1457,488,672,84
1930,NL,PHI,Philadelphia Phillies,N,8,156,52,102,944,1783,5667,450,459,126,NA,NA,1199,1993,543,384,142
1930,NL,PIT,Pittsburgh Pirates,N,5,154,80,74,891,1622,5346,494,449,86,NA,NA,928,1730,438,393,128
1930,AL,SLA,St. Louis Browns,N,6,154,64,90,751,1415,5278,497,550,75,NA,NA,886,1639,449,470,124
1930,NL,SLN,St. Louis Cardinals,N,1,154,92,62,1004,1732,5512,479,496,104,NA,NA,784,1596,476,639,87
1930,AL,WS1,Washington Senators,N,2,154,94,60,892,1620,5370,537,438,57,NA,NA,689,1367,504,524,52
1931,AL,BOS,Boston Red Sox,N,6,153,62,90,625,1409,5379,405,565,37,NA,NA,800,1559,473,365,54
1931,NL,BRO,Brooklyn Robins,N,4,153,79,73,681,1464,5309,409,512,71,NA,NA,673,1520,351,546,56
1931,NL,BSN,Boston Braves,N,7,156,64,90,533,1367,5296,368,430,34,NA,NA,680,1465,406,419,66
1931,AL,CHA,Chicago White Sox,N,8,156,56,97,704,1423,5481,483,445,27,NA,NA,939,1613,588,421,82
1931,NL,CHN,Chicago Cubs,N,3,156,84,70,828,1578,5451,577,641,84,NA,NA,710,1448,524,541,54
1931,NL,CIN,Cincinnati Reds,N,8,154,58,96,592,1439,5343,403,463,21,NA,NA,742,1545,399,317,51
1931,AL,CLE,Cleveland Indians,N,4,155,78,76,885,1612,5445,555,433,71,NA,NA,833,1577,561,470,64
1931,AL,DET,Detroit Tigers,N,7,154,61,93,651,1456,5430,480,468,43,NA,NA,836,1549,597,511,79
1931,NL,NY1,New York Giants,N,2,153,87,65,768,1554,5372,383,395,101,NA,NA,599,1341,422,570,71
1931,AL,NYA,New York Yankees,N,2,155,94,59,1067,1667,5608,748,554,155,NA,NA,760,1461,543,686,67
1931,AL,PHA,Philadelphia Athletics,N,1,153,107,45,858,1544,5377,528,543,118,NA,NA,626,1342,457,574,73
1931,NL,PHI,Philadelphia Phillies,N,6,155,66,88,684,1502,5375,437,492,81,NA,NA,828,1603,511,499,75
1931,NL,PIT,Pittsburgh Pirates,N,5,155,75,79,636,1425,5360,493,454,41,NA,NA,691,1489,442,345,55
1931,AL,SLA,St. Louis Browns,N,5,154,63,91,722,1455,5374,488,580,76,NA,NA,870,1623,444,436,84
1931,NL,SLN,St. Louis Cardinals,Y,1,154,101,53,815,1554,5435,432,475,60,NA,NA,614,1470,449,626,65
1931,AL,WS1,Washington Senators,N,3,156,92,62,843,1588,5576,481,459,49,NA,NA,691,1434,498,582,73
1932,AL,BOS,Boston Red Sox,N,8,154,43,111,566,1331,5295,469,539,53,NA,NA,915,1574,612,365,79
1932,NL,BRO,Brooklyn Dodgers,N,3,154,81,73,752,1538,5433,388,574,110,NA,NA,747,1538,403,497,72
1932,NL,BSN,Boston Braves,N,5,155,77,77,649,1460,5506,347,496,63,NA,NA,655,1483,420,440,61
1932,AL,CHA,Chicago White Sox,N,7,152,49,102,667,1426,5336,459,386,36,NA,NA,897,1551,580,379,88
1932,NL,CHN,Chicago Cubs,N,1,154,90,64,720,1519,5462,398,514,69,NA,NA,633,1444,409,527,68
1932,NL,CIN,Cincinnati Reds,N,8,155,60,94,575,1429,5443,436,436,47,NA,NA,715,1505,276,359,69
1932,AL,CLE,Cleveland Indians,N,4,153,87,65,845,1544,5412,566,454,78,NA,NA,747,1506,446,439,70
1932,AL,DET,Detroit Tigers,N,5,153,76,75,799,1479,5409,486,523,80,NA,NA,787,1421,592,521,89
1932,NL,NY1,New York Giants,N,6,154,72,82,755,1527,5530,348,391,116,NA,NA,706,1533,387,506,112
1932,AL,NYA,New York Yankees,Y,1,156,107,47,1002,1564,5477,766,527,160,NA,NA,724,1425,561,780,93
1932,AL,PHA,Philadelphia Athletics,N,2,154,94,60,981,1606,5537,647,630,172,NA,NA,752,1477,511,595,112
1932,NL,PHI,Philadelphia Phillies,N,4,154,78,76,844,1608,5510,446,547,122,NA,NA,796,1589,450,459,107
1932,NL,PIT,Pittsburgh Pirates,N,2,154,86,68,701,1543,5421,358,385,48,NA,NA,711,1472,338,377,86
1932,AL,SLA,St. Louis Browns,N,6,154,63,91,736,1502,5449,507,528,67,NA,NA,898,1592,574,496,103
1932,NL,SLN,St. Louis Cardinals,N,6,156,72,82,684,1467,5458,420,514,76,NA,NA,717,1533,455,681,76
1932,AL,WS1,Washington Senators,N,3,154,93,61,840,1565,5515,505,442,61,NA,NA,716,1463,526,437,73
1933,AL,BOS,Boston Red Sox,N,7,149,63,86,700,1407,5201,525,464,50,NA,NA,758,1396,591,467,75
1933,NL,BRO,Brooklyn Dodgers,N,6,157,65,88,617,1413,5367,397,453,62,NA,NA,695,1502,374,415,51
1933,NL,BSN,Boston Braves,N,4,156,83,71,552,1320,5243,326,428,54,NA,NA,531,1391,355,383,54
1933,AL,CHA,Chicago White Sox,N,6,151,67,83,683,1448,5318,538,416,43,NA,NA,814,1505,519,423,85
1933,NL,CHN,Chicago Cubs,N,3,154,86,68,646,1422,5255,392,475,72,NA,NA,536,1316,413,488,51
1933,NL,CIN,Cincinnati Reds,N,8,153,58,94,496,1267,5156,349,354,34,NA,NA,643,1470,257,310,47
1933,AL,CLE,Cleveland Indians,N,4,151,75,76,654,1366,5240,448,426,50,NA,NA,669,1382,465,437,60
1933,AL,DET,Detroit Tigers,N,5,155,75,79,722,1479,5502,475,523,57,NA,NA,733,1415,561,575,84
1933,NL,NY1,New York Giants,Y,1,156,91,61,636,1437,5461,377,477,82,NA,NA,515,1280,400,555,61
1933,AL,NYA,New York Yankees,N,2,152,91,59,927,1495,5274,700,506,144,NA,NA,768,1426,612,711,66
1933,AL,PHA,Philadelphia Athletics,N,3,152,79,72,875,1519,5330,625,618,139,NA,NA,853,1523,644,423,77
1933,NL,PHI,Philadelphia Phillies,N,7,152,60,92,607,1439,5261,381,479,60,NA,NA,760,1563,410,341,87
1933,NL,PIT,Pittsburgh Pirates,N,2,154,87,67,667,1548,5429,366,334,39,NA,NA,619,1417,313,401,54
1933,AL,SLA,St. Louis Browns,N,8,153,55,96,669,1337,5285,520,556,64,NA,NA,820,1574,531,426,96
1933,NL,SLN,St. Louis Cardinals,N,5,154,82,71,687,1486,5387,391,528,57,NA,NA,609,1391,452,635,55
1933,AL,WS1,Washington Senators,N,1,153,99,53,850,1586,5524,539,395,60,NA,NA,665,1415,452,447,64
1934,AL,BOS,Boston Red Sox,N,4,153,76,76,820,1465,5339,610,535,51,NA,NA,775,1527,543,538,70
1934,NL,BRO,Brooklyn Dodgers,N,6,153,71,81,748,1526,5427,548,555,79,NA,NA,795,1540,475,520,81
1934,NL,BSN,Boston Braves,N,4,152,78,73,683,1460,5370,375,440,83,NA,NA,714,1512,405,462,78
1934,AL,CHA,Chicago White Sox,N,8,153,53,99,704,1395,5301,565,524,71,NA,NA,946,1599,628,506,139
1934,NL,CHN,Chicago Cubs,N,3,152,86,65,705,1494,5347,375,630,101,NA,NA,639,1432,417,633,80
1934,NL,CIN,Cincinnati Reds,N,8,152,52,99,590,1428,5361,313,532,55,NA,NA,801,1645,389,438,61
1934,AL,CLE,Cleveland Indians,N,3,154,85,69,814,1550,5396,526,433,100,NA,NA,763,1476,582,554,70
1934,AL,DET,Detroit Tigers,N,1,154,101,53,958,1644,5475,639,528,74,NA,NA,708,1467,488,640,86
1934,NL,NY1,New York Giants,N,2,153,93,60,760,1485,5396,406,526,126,NA,NA,583,1384,351,499,75
1934,AL,NYA,New York Yankees,N,2,154,94,60,842,1494,5368,700,597,135,NA,NA,669,1349,542,656,71
1934,AL,PHA,Philadelphia Athletics,N,5,153,68,82,764,1491,5317,491,584,144,NA,NA,838,1429,693,480,84
1934,NL,PHI,Philadelphia Phillies,N,7,149,56,93,675,1480,5218,398,534,56,NA,NA,794,1501,437,416,126
1934,NL,PIT,Pittsburgh Pirates,N,5,151,74,76,735,1541,5361,440,398,52,NA,NA,713,1523,354,487,78
1934,AL,SLA,St. Louis Browns,N,6,154,67,85,674,1417,5288,514,631,62,NA,NA,800,1499,632,499,94
1934,NL,SLN,St. Louis Cardinals,Y,1,154,95,58,799,1582,5502,392,535,104,NA,NA,656,1463,411,689,77
1934,AL,WS1,Washington Senators,N,7,155,66,86,729,1512,5448,570,447,51,NA,NA,806,1622,503,412,74
1935,AL,BOS,Boston Red Sox,N,4,154,78,75,718,1458,5288,609,470,69,NA,NA,732,1520,520,470,67
1935,NL,BRO,Brooklyn Dodgers,N,5,154,70,83,711,1496,5410,430,520,59,NA,NA,767,1519,436,480,88
1935,NL,BSN,Boston Braves,N,8,153,38,115,575,1396,5309,353,436,75,NA,NA,852,1645,404,355,81
1935,AL,CHA,Chicago White Sox,N,5,153,74,78,738,1460,5314,580,405,74,NA,NA,750,1443,574,436,105
1935,NL,CHN,Chicago Cubs,N,1,154,100,54,847,1581,5486,464,471,88,NA,NA,597,1417,400,589,85
1935,NL,CIN,Cincinnati Reds,N,6,154,68,85,646,1403,5296,392,547,73,NA,NA,772,1490,438,500,65
1935,AL,CLE,Cleveland Indians,N,3,156,82,71,776,1573,5534,460,567,93,NA,NA,739,1527,457,498,68
1935,AL,DET,Detroit Tigers,Y,1,152,93,58,919,1573,5423,627,456,106,NA,NA,665,1440,522,584,78
1935,NL,NY1,New York Giants,N,3,156,91,62,770,1608,5623,392,479,123,NA,NA,675,1433,411,524,106
1935,AL,NYA,New York Yankees,N,2,149,89,60,818,1462,5214,604,469,104,NA,NA,632,1276,516,594,91
1935,AL,PHA,Philadelphia Athletics,N,8,149,58,91,710,1470,5269,475,602,112,NA,NA,869,1486,704,469,73
1935,NL,PHI,Philadelphia Phillies,N,7,156,64,89,685,1466,5442,392,661,92,NA,NA,871,1652,505,475,106
1935,NL,PIT,Pittsburgh Pirates,N,4,153,86,67,743,1543,5415,457,437,66,NA,NA,647,1428,312,549,63
1935,AL,SLA,St. Louis Browns,N,7,155,65,87,718,1446,5365,593,561,73,NA,NA,930,1667,641,435,92
1935,NL,SLN,St. Louis Cardinals,N,2,154,96,58,829,1548,5457,404,521,86,NA,NA,625,1445,377,602,68
1935,AL,WS1,Washington Senators,N,6,154,67,86,823,1591,5592,596,406,32,NA,NA,903,1672,613,456,89
1936,AL,BOS,Boston Red Sox,N,6,155,74,80,775,1485,5383,584,465,86,NA,NA,764,1501,552,584,78
1936,NL,BRO,Brooklyn Dodgers,N,7,156,67,87,662,1518,5574,390,458,33,NA,NA,752,1466,528,651,84
1936,NL,BSN,Boston Bees,N,6,157,71,83,631,1450,5478,433,582,67,NA,NA,715,1566,451,421,69
1936,AL,CHA,Chicago White Sox,N,4,153,81,70,920,1597,5466,684,417,60,NA,NA,873,1603,578,414,104
1936,NL,CHN,Chicago Cubs,N,2,154,87,67,755,1545,5409,491,462,76,NA,NA,603,1413,434,597,77
1936,NL,CIN,Cincinnati Reds,N,5,154,74,80,722,1476,5393,410,584,82,NA,NA,760,1576,418,459,51
1936,AL,CLE,Cleveland Indians,N,5,157,80,74,921,1715,5646,514,470,123,NA,NA,862,1604,607,619,73
1936,AL,DET,Detroit Tigers,N,2,154,83,71,921,1638,5464,640,462,94,NA,NA,871,1568,562,526,100
1936,NL,NY1,New York Giants,N,1,154,92,62,742,1529,5449,431,452,97,NA,NA,621,1458,401,500,75
1936,AL,NYA,New York Yankees,Y,1,155,102,51,1065,1676,5591,700,594,182,NA,NA,731,1474,663,624,84
1936,AL,PHA,Philadelphia Athletics,N,8,154,53,100,714,1443,5373,524,590,72,NA,NA,1045,1645,696,405,131
1936,NL,PHI,Philadelphia Phillies,N,8,154,54,100,726,1538,5465,451,586,103,NA,NA,874,1630,515,454,87
1936,NL,PIT,Pittsburgh Pirates,N,4,156,84,70,804,1596,5586,517,502,60,NA,NA,718,1475,379,559,74
1936,AL,SLA,St. Louis Browns,N,7,155,57,95,804,1502,5391,625,627,79,NA,NA,1064,1776,609,399,115
1936,NL,SLN,St. Louis Cardinals,N,2,155,87,67,795,1554,5537,442,577,88,NA,NA,794,1610,434,559,89
1936,AL,WS1,Washington Senators,N,3,153,82,71,889,1601,5433,576,398,62,NA,NA,799,1484,588,462,73
1937,AL,BOS,Boston Red Sox,N,5,154,80,72,821,1506,5354,601,557,100,NA,NA,775,1518,597,682,92
1937,NL,BRO,Brooklyn Dodgers,N,6,155,62,91,616,1401,5295,469,583,37,NA,NA,772,1470,476,592,68
1937,NL,BSN,Boston Bees,N,5,152,79,73,579,1265,5124,485,707,63,NA,NA,556,1344,372,387,60
1937,AL,CHA,Chicago White Sox,N,3,154,86,68,780,1478,5277,549,447,67,NA,NA,730,1435,532,533,115
1937,NL,CHN,Chicago Cubs,N,2,154,93,61,811,1537,5349,538,496,96,NA,NA,682,1434,502,596,91
1937,NL,CIN,Cincinnati Reds,N,8,155,56,98,612,1329,5230,437,586,73,NA,NA,707,1428,533,581,38
1937,AL,CLE,Cleveland Indians,N,4,156,83,71,817,1499,5353,570,551,103,NA,NA,768,1529,566,630,61
1937,AL,DET,Detroit Tigers,N,2,155,89,65,935,1611,5516,656,711,150,NA,NA,841,1521,635,485,102
1937,NL,NY1,New York Giants,N,1,152,95,57,732,1484,5329,412,492,111,NA,NA,602,1341,404,653,85
1937,AL,NYA,New York Yankees,Y,1,157,102,52,979,1554,5487,709,607,174,NA,NA,671,1417,506,652,92
1937,AL,PHA,Philadelphia Athletics,N,7,154,54,97,699,1398,5228,583,557,94,NA,NA,854,1490,613,469,105
1937,NL,PHI,Philadelphia Phillies,N,7,155,61,92,724,1482,5424,478,640,103,NA,NA,869,1629,501,529,116
1937,NL,PIT,Pittsburgh Pirates,N,3,154,86,68,704,1550,5433,463,480,47,NA,NA,646,1398,428,643,71
1937,AL,SLA,St. Louis Browns,N,8,156,46,108,715,1573,5510,514,510,71,NA,NA,1023,1768,653,468,143
1937,NL,SLN,St. Louis Cardinals,N,4,157,81,73,789,1543,5476,385,569,94,NA,NA,733,1546,448,571,95
1937,AL,WS1,Washington Senators,N,6,158,73,80,757,1559,5578,591,503,47,NA,NA,841,1498,671,524,96
1938,AL,BOS,Boston Red Sox,N,2,150,88,61,902,1566,5229,650,463,98,NA,NA,751,1472,528,484,102
1938,NL,BRO,Brooklyn Dodgers,N,7,151,69,80,704,1322,5142,611,615,61,NA,NA,710,1464,446,469,88
1938,NL,BSN,Boston Bees,N,5,153,77,75,561,1311,5250,424,548,54,NA,NA,618,1375,465,413,66
1938,AL,CHA,Chicago White Sox,N,6,149,65,83,709,1439,5199,514,489,67,NA,NA,752,1449,550,432,101
1938,NL,CHN,Chicago Cubs,N,1,154,89,63,713,1435,5333,522,476,65,NA,NA,598,1414,454,583,71
1938,NL,CIN,Cincinnati Reds,N,4,151,82,68,723,1495,5391,366,518,110,NA,NA,634,1329,463,542,75
1938,AL,CLE,Cleveland Indians,N,3,153,86,66,847,1506,5356,550,605,113,NA,NA,782,1416,681,717,100
1938,AL,DET,Detroit Tigers,N,4,155,84,70,862,1434,5270,693,581,137,NA,NA,795,1532,608,435,110
1938,NL,NY1,New York Giants,N,3,152,83,67,705,1424,5255,465,528,125,NA,NA,637,1370,389,497,87
1938,AL,NYA,New York Yankees,Y,1,157,99,53,966,1480,5410,749,616,174,NA,NA,710,1436,566,567,85
1938,AL,PHA,Philadelphia Athletics,N,8,154,53,99,726,1410,5229,605,590,98,NA,NA,956,1573,599,473,142
1938,NL,PHI,Philadelphia Phillies,N,8,151,45,105,550,1318,5192,423,507,40,NA,NA,840,1516,582,492,76
1938,NL,PIT,Pittsburgh Pirates,N,2,152,86,64,707,1511,5422,485,409,65,NA,NA,630,1406,432,557,71
1938,AL,SLA,St. Louis Browns,N,7,156,55,97,755,1498,5333,590,528,92,NA,NA,962,1584,737,632,132
1938,NL,SLN,St. Louis Cardinals,N,6,156,71,80,725,1542,5528,412,492,91,NA,NA,721,1482,474,534,77
1938,AL,WS1,Washington Senators,N,5,152,75,76,814,1602,5474,573,379,85,NA,NA,873,1472,655,515,92
1939,AL,BOS,Boston Red Sox,N,2,152,89,62,890,1543,5308,591,505,124,NA,NA,795,1533,543,539,77
1939,NL,BRO,Brooklyn Dodgers,N,3,157,84,69,708,1420,5350,564,639,78,NA,NA,645,1431,399,528,93
1939,NL,BSN,Boston Bees,N,7,152,63,88,572,1395,5286,366,494,56,NA,NA,659,1400,513,430,63
1939,AL,CHA,Chicago White Sox,N,4,155,85,69,755,1451,5279,579,502,64,NA,NA,737,1470,454,535,99
1939,NL,CHN,Chicago Cubs,N,4,156,84,70,724,1407,5293,523,553,91,NA,NA,678,1504,430,584,74
1939,NL,CIN,Cincinnati Reds,N,1,156,97,57,767,1493,5378,500,538,98,NA,NA,595,1340,499,637,81
1939,AL,CLE,Cleveland Indians,N,3,154,87,67,797,1490,5316,557,574,85,NA,NA,700,1394,602,614,75
1939,AL,DET,Detroit Tigers,N,5,155,81,73,849,1487,5326,620,592,124,NA,NA,762,1430,574,633,104
1939,NL,NY1,New York Giants,N,5,151,77,74,703,1395,5129,498,499,116,NA,NA,685,1412,477,505,86
1939,AL,NYA,New York Yankees,Y,1,152,106,45,967,1521,5300,701,543,166,NA,NA,556,1208,567,565,85
1939,AL,PHA,Philadelphia Athletics,N,7,153,55,97,711,1438,5309,503,532,98,NA,NA,1022,1687,579,397,148
1939,NL,PHI,Philadelphia Phillies,N,8,152,45,106,553,1341,5133,421,486,49,NA,NA,856,1502,579,447,106
1939,NL,PIT,Pittsburgh Pirates,N,6,153,68,85,666,1453,5269,477,420,63,NA,NA,721,1537,423,464,70
