player,position,age,team,games,games_started,minutes_played,field_goals,field_goal_attempts,three_pointers,three_point_attempts,two_pointers,two_point_attempts,free_throws,free_throw_attempts,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
Greg Monroe,C,28,TOT,43,2,480,92,189,1,5,91,184,45,72,67,105,24,14,8,32,66
Greg Monroe,C,28,TOR,38,2,423,74,161,0,4,74,157,35,61,60,96,16,13,8,31,61
Greg Monroe,C,28,BOS,2,0,5,3,5,0,0,3,5,0,0,3,0,1,0,0,0,0
Greg Monroe,C,28,PHI,3,0,52,15,23,1,1,14,22,10,11,4,9,7,1,0,1,5
E'Twaun Moore,SG,29,NOP,53,36,1463,256,532,76,176,180,356,45,59,35,92,102,40,8,59,112
Eric Moreland,PF,27,TOT,5,0,43,3,7,1,1,2,6,0,0,4,16,4,1,1,5,9
Eric Moreland,PF,27,PHO,1,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1
Eric Moreland,PF,27,TOR,4,0,38,3,7,1,1,2,6,0,0,4,13,4,1,1,5,8
Jaylen Morris,SG,23,MIL,4,0,29,4,10,1,3,3,7,1,2,0,5,4,2,0,1,1
Marcus Morris,PF,29,BOS,75,53,2091,377,844,146,389,231,455,146,173,76,382,109,43,25,92,181
Markieff Morris,PF,29,TOT,58,16,1270,204,484,68,203,136,281,71,92,61,204,79,36,22,54,175
Markieff Morris,PF,29,WAS,34,15,883,143,328,48,144,95,184,57,73,41,133,60,25,20,47,117
Markieff Morris,PF,29,OKC,24,1,387,61,156,20,59,41,97,14,19,20,71,19,11,2,7,58
Monte Morris,PG,23,DEN,82,6,1970,346,702,94,227,252,475,65,81,35,159,297,73,4,52,102
Donatas Motiejunas,PF,28,SAS,3,0,13,3,6,0,0,3,6,0,2,2,1,1,0,1,3,6
Johnathan Motley,PF,23,LAC,22,0,156,39,73,0,3,39,70,24,40,18,33,11,5,3,16,27
Emmanuel Mudiay,PG,22,NYK,59,42,1607,330,740,69,210,261,530,144,186,33,163,228,43,19,140,103
Jamal Murray,PG,21,DEN,75,74,2447,513,1173,152,414,361,759,189,223,65,252,363,67,27,158,153
Dzanan Musa,SG,19,BRK,9,0,39,9,22,1,10,8,12,0,2,1,4,2,2,0,4,1
Mike Muscala,PF,27,TOT,64,10,1306,145,361,89,256,56,105,70,85,57,187,76,22,38,48,130
Mike Muscala,PF,27,PHI,47,6,1041,109,278,68,199,41,79,63,77,51,149,62,18,27,43,112
Mike Muscala,PF,27,LAL,17,4,265,36,83,21,57,15,26,7,8,6,38,14,4,11,5,18
Sviatoslav Mykhailiuk,SF,21,TOT,42,0,440,46,140,29,89,17,51,12,20,9,27,37,14,1,21,25
Sviatoslav Mykhailiuk,SF,21,LAL,39,0,420,44,132,27,85,17,47,12,20,8,26,33,13,1,20,25
Sviatoslav Mykhailiuk,SF,21,DET,3,0,20,2,8,2,4,0,4,0,0,1,1,4,1,0,1,0
Abdel Nader,SF,25,OKC,61,1,694,91,215,32,100,59,115,27,36,14,102,20,20,12,26,68
Larry Nance,C,26,CLE,67,30,1795,249,479,33,98,216,381,96,134,168,384,214,100,40,97,192
Shabazz Napier,PG,27,BRK,56,2,983,169,435,76,228,93,207,115,138,18,82,143,41,16,66,67
Raul Neto,PG,26,UTA,37,1,474,74,161,20,60,54,101,28,33,6,56,93,14,4,35,49
Georges Niang,PF,25,UTA,59,0,516,86,181,43,105,43,76,20,24,11,76,35,10,6,23,57
Joakim Noah,C,33,MEM,42,1,693,110,213,0,1,110,212,78,109,58,180,89,20,31,50,96
Nerlens Noel,C,24,OKC,77,2,1055,162,276,0,0,162,276,54,79,127,198,45,66,96,48,166
Dirk Nowitzki,PF,40,DAL,51,20,795,135,376,64,205,71,171,39,50,5,153,35,9,18,18,76
Frank Ntilikina,PG,20,NYK,43,16,904,95,282,33,115,62,167,23,30,12,75,121,30,14,56,104
James Nunnally,SF,28,TOT,15,0,102,12,34,8,25,4,9,4,4,0,5,7,1,0,1,10
James Nunnally,SF,28,MIN,13,0,64,9,21,5,13,4,8,4,4,0,4,5,1,0,1,4
James Nunnally,SF,28,HOU,2,0,38,3,13,3,12,0,1,0,0,0,1,2,0,0,0,6
Jusuf Nurkic,C,24,POR,72,72,1974,420,826,3,29,417,797,282,365,243,505,233,71,103,168,250
David Nwaba,SG,26,CLE,51,14,984,126,262,24,75,102,187,58,85,41,122,54,36,17,29,106
Royce O'Neale,SF,25,UTA,82,16,1671,163,343,68,176,95,167,32,42,22,263,124,54,24,70,172
Kyle O'Quinn,C,28,IND,45,3,371,69,136,1,12,68,124,17,21,29,90,56,9,25,31,68
Semi Ojeleye,PF,24,BOS,56,3,594,67,158,28,89,39,69,24,39,24,62,23,10,4,19,43
Jahlil Okafor,C,23,NOP,59,24,935,212,362,1,5,211,357,59,89,82,196,40,15,40,52,96
Elie Okobo,PG,21,PHO,53,16,958,114,290,39,132,75,158,37,47,12,86,127,32,7,69,109
