player,position,age,team,games,games_started,minutes_played,field_goals,field_goal_attempts,three_pointers,three_point_attempts,two_pointers,two_point_attempts,free_throws,free_throw_attempts,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
Evan Turner,PG,30,POR,73,2,1605,204,443,11,52,193,391,75,106,37,291,283,33,18,114,110
Myles Turner,C,22,IND,74,74,2119,380,780,76,196,304,584,148,201,101,430,115,60,199,100,195
Ekpe Udoh,C,31,UTA,51,1,320,50,72,0,0,50,72,19,30,27,63,28,10,31,13,36
Tyler Ulis,PG,23,CHI,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonas Valanciunas,C,26,TOT,49,27,1091,301,538,14,48,287,490,147,185,106,313,70,19,53,90,146
Jonas Valanciunas,C,26,TOR,30,10,564,149,259,9,30,140,229,77,94,54,162,29,13,23,39,82
Jonas Valanciunas,C,26,MEM,19,17,527,152,279,5,18,147,261,70,91,52,151,41,6,30,51,64
Jarred Vanderbilt,PF,19,DEN,17,0,69,9,19,0,1,9,18,6,10,7,16,3,6,1,8,8
Fred VanVleet,PG,24,TOR,64,28,1760,246,600,112,296,134,304,97,115,21,146,307,57,20,82,110
Noah Vonleh,PF,23,NYK,68,57,1722,207,440,46,137,161,303,111,156,113,415,129,46,51,88,174
Nikola Vucevic,C,28,ORL,80,80,2510,701,1354,84,231,617,1123,179,227,224,736,307,81,89,159,157
Dwyane Wade,SG,37,MIA,72,2,1885,416,960,86,261,330,699,165,233,69,216,301,59,38,166,118
Moritz Wagner,C,21,LAL,43,5,446,71,171,22,77,49,94,43,53,17,68,24,11,13,39,57
Dion Waiters,SG,27,MIA,44,28,1138,198,478,109,289,89,189,22,44,7,109,121,29,9,64,72
Kemba Walker,PG,28,CHO,82,82,2863,731,1684,260,731,471,953,380,450,52,309,484,102,34,211,131
Lonnie Walker,SG,20,SAS,17,0,118,16,46,5,13,11,33,8,10,0,17,9,7,3,4,7
John Wall,PG,28,WAS,32,32,1104,245,552,51,169,194,383,122,175,15,101,279,49,29,121,71
Tyrone Wallace,PG,24,LAC,62,0,628,92,217,4,19,88,198,30,57,20,81,42,21,7,36,83
Taurean Waller-Prince,SF,24,ATL,55,47,1552,262,594,123,315,139,279,95,116,22,177,118,53,19,100,141
Brad Wanamaker,PG,29,BOS,36,0,343,50,105,16,39,34,66,24,28,3,38,56,12,2,19,34
T.J. Warren,SF,25,PHO,43,36,1360,297,611,77,180,220,431,101,124,31,143,64,51,29,52,119
Julian Washburn,SF,27,MEM,18,3,254,16,48,5,24,11,24,3,4,8,33,14,13,2,7,16
Yuta Watanabe,SF,24,MEM,15,0,174,15,51,2,16,13,35,7,10,4,27,8,4,1,6,11
Thomas Welsh,C,22,DEN,11,0,36,7,13,3,7,4,6,1,2,0,4,5,0,0,1,3
Russell Westbrook,PG,30,OKC,73,73,2630,630,1473,119,411,511,1062,296,451,109,698,784,142,33,325,245
Derrick White,PG,24,SAS,67,55,1728,260,543,48,142,212,401,95,123,35,212,263,67,47,97,145
Okaro White,PF,26,WAS,3,0,6,0,2,0,2,0,0,0,0,1,1,0,0,0,0,0
Hassan Whiteside,C,29,MIA,72,53,1674,388,680,2,16,386,664,109,243,257,560,56,46,136,97,192
Andrew Wiggins,SF,23,MIN,73,73,2543,498,1209,118,348,380,861,207,296,83,269,184,70,48,138,153
Alan Williams,PF,26,BRK,5,0,26,8,13,0,1,8,12,2,4,4,15,3,1,0,1,2
C.J. Williams,SG,28,MIN,15,0,128,17,35,5,16,12,19,0,1,1,7,12,6,0,5,16
Johnathan Williams,C,23,LAL,24,0,372,65,110,0,2,65,108,27,48,48,51,13,8,7,16,62
Kenrich Williams,SF,24,NOP,46,29,1079,107,279,52,156,55,123,13,19,55,164,83,45,19,36,95
Lou Williams,SG,32,LAC,75,1,1993,484,1138,105,291,379,847,425,485,40,182,402,57,11,181,80
Marvin Williams,PF,32,CHO,75,75,2133,275,652,140,382,135,270,66,86,76,331,92,71,61,47,156
Robert Williams,C,21,BOS,32,2,283,36,51,0,0,36,51,9,15,27,54,7,9,40,10,36
Troy Williams,SF,24,SAC,21,0,312,44,98,14,44,30,54,9,15,12,47,11,10,8,9,37
D.J. Wilson,PF,22,MIL,48,3,882,104,251,46,127,58,124,26,47,45,177,52,18,20,32,85
Justise Winslow,SF,22,MIA,66,52,1959,324,749,96,256,228,493,86,137,63,292,282,72,19,142,177
Christian Wood,PF,23,TOT,21,2,251,61,117,9,26,52,91,41,56,17,66,8,7,10,17,17
Christian Wood,PF,23,MIL,13,0,62,12,25,3,5,9,20,10,15,4,16,2,0,0,3,3
Christian Wood,PF,23,NOP,8,2,189,49,92,6,21,43,71,31,41,13,50,6,7,10,14,14
Delon Wright,PG,26,TOT,75,13,1699,242,558,50,168,192,390,119,150,68,198,248,88,30,77,103
Delon Wright,PG,26,TOR,49,2,897,127,293,30,90,97,203,53,61,39,86,110,46,15,37,53
Delon Wright,PG,26,MEM,26,11,802,115,265,20,78,95,187,66,89,29,112,138,42,15,40,50
Guerschon Yabusele,PF,23,BOS,41,1,251,35,77,9,28,26,49,15,22,23,30,15,8,7,15,32
Nick Young,SG,33,DEN,4,0,37,3,9,3,8,0,1,0,0,0,1,2,0,1,2,4
Thaddeus Young,PF,30,IND,81,81,2489,443,841,51,146,392,695,87,135,192,331,204,123,36,123,194
Trae Young,PG,20,ATL,81,81,2503,525,1256,156,482,369,774,343,414,64,237,653,72,15,308,140
Cody Zeller,C,26,CHO,49,47,1243,190,345,6,22,184,323,111,141,110,223,102,38,41,62,164
Tyler Zeller,C,29,TOT,6,1,93,16,30,0,1,16,29,14,18,11,13,4,1,3,4,20
Tyler Zeller,C,29,ATL,2,0,11,0,2,0,1,0,1,0,0,2,4,1,0,0,0,4
Tyler Zeller,C,29,MEM,4,1,82,16,28,0,0,16,28,14,18,9,9,3,1,3,4,16
Ante Zizic,C,22,CLE,59,25,1082,183,331,0,0,183,331,93,132,108,212,53,13,22,61,113
Ivica Zubac,C,21,TOT,59,37,1040,212,379,0,0,212,379,101,126,115,247,63,14,51,70,137
Ivica Zubac,C,21,LAL,33,12,516,112,193,0,0,112,193,57,66,54,108,25,4,27,33,73
Ivica Zubac,C,21,LAC,26,25,524,100,186,0,0,100,186,44,60,61,139,38,10,24,37,64
